Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
10,Liverpool,10,6,3,1,23,9,14,21,2.1,19.3,11.6,7.7,0.77,10,2,2,6,11,19,-8,8,0.8,16.1,17.6,-1.5,-0.15
11,Aston Villa,11,5,2,4,17,15,2,17,1.55,15.9,15.4,0.5,0.05,10,3,2,5,8,16,-8,11,1.1,10.3,13.7,-3.3,-0.33
12,Crystal Palace,11,4,3,4,11,16,-5,15,1.36,10.4,14.7,-4.2,-0.39,10,2,3,5,8,13,-5,9,0.9,9.2,15.0,-5.8,-0.58
13,Nott'ham Forest,11,5,3,3,14,12,2,18,1.64,14.4,14.0,0.4,0.03,10,1,3,6,3,23,-20,6,0.6,9.1,17.3,-8.2,-0.82
14,Leicester City,10,2,3,5,11,12,-1,9,0.9,8.6,12.4,-3.9,-0.39,11,4,0,7,21,25,-4,12,1.09,16.7,21.4,-4.7,-0.42
