Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Vicente Guaita,es ESP,GK,36-030,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marc Guéhi,eng ENG,DF,22-211,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,0.2,0.7,7.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,Matches
Wilfried Zaha,ci CIV,"FW,MF",30-091,19,19,1661.0,18.5,6.0,2.0,8.0,6.0,0.0,2.0,3.0,0.0,5.1,3.3,2.4,5.7,54.0,45.0,171.0,0.33,0.11,0.43,0.33,0.43,0.27,0.13,0.4,0.18,0.31,Matches
Cheick Doucouré,ml MLI,MF,23-032,19,19,1557.0,17.3,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,1.6,2.3,12.0,79.0,10.0,0.0,0.12,0.12,0.0,0.12,0.04,0.09,0.13,0.04,0.13,Matches
Eberechi Eze,eng ENG,"MF,FW",24-225,21,19,1529.0,17.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,2.6,2.6,2.8,5.3,39.0,67.0,65.0,0.18,0.18,0.35,0.18,0.35,0.15,0.16,0.31,0.15,0.31,Matches
Jeffrey Schlupp,gh GHA,MF,30-048,21,18,1560.0,17.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.4,1.4,0.5,1.9,20.0,59.0,35.0,0.06,0.0,0.06,0.06,0.06,0.08,0.03,0.11,0.08,0.11,Matches
Joachim Andersen,dk DEN,DF,26-254,17,17,1477.0,16.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.4,1.4,4.0,44.0,5.0,0.06,0.0,0.06,0.06,0.06,0.07,0.02,0.09,0.07,0.09,Matches
Jordan Ayew,gh GHA,"FW,MF",31-151,21,17,1407.0,15.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.4,1.4,1.2,2.6,40.0,26.0,83.0,0.06,0.06,0.13,0.06,0.13,0.09,0.08,0.16,0.09,0.16,Matches
Tyrick Mitchell,eng ENG,DF,23-161,19,17,1370.0,15.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.3,0.3,0.7,1.1,14.0,60.0,39.0,0.0,0.13,0.13,0.0,0.13,0.02,0.05,0.07,0.02,0.07,Matches
Joel Ward,eng ENG,DF,33-103,16,14,1295.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,7.0,49.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
Michael Olise,fr FRA,"MF,FW",21-059,20,14,1292.0,14.4,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,1.3,1.3,3.3,4.6,50.0,63.0,108.0,0.14,0.28,0.42,0.14,0.42,0.09,0.23,0.32,0.09,0.32,Matches
Nathaniel Clyne,eng ENG,DF,31-310,15,13,1116.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,12.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Odsonne Édouard,fr FRA,"FW,MF",25-024,19,12,1073.0,11.9,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.7,2.7,0.9,3.6,20.0,27.0,55.0,0.25,0.17,0.42,0.25,0.42,0.23,0.08,0.3,0.23,0.3,Matches
Jean-Philippe Mateta,fr FRA,FW,25-226,17,3,441.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,0.6,2.3,4.0,4.0,22.0,0.2,0.0,0.2,0.2,0.2,0.35,0.13,0.47,0.35,0.47,Matches
