Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
1,Barcelona,13,11,2,0,27,2,25,35,2.69,29.1,8.7,20.4,1.57,14,12,0,2,26,7,19,36,2.57,24.0,12.9,11.1,0.79
2,Real Madrid,13,9,4,0,32,9,23,31,2.38,32.1,9.9,22.2,1.71,14,9,1,4,25,12,13,28,2.0,24.6,14.5,10.1,0.72
3,Atlético Madrid,14,8,3,3,26,11,15,27,1.93,23.7,14.3,9.4,0.67,13,8,3,2,17,8,9,27,2.08,17.3,13.7,3.6,0.27
