Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Marc Albrighton,eng ENG,"FW,MF",33-120,6,237.0,40.0,10.1,2.6,1,67.0,0,5,34.0,13,1.67,4.0,3.0,1.0,0.38,0.81,4.9,4.3,0.6,0.24,0.7,Matches
Çağlar Söyüncü,tr TUR,DF,26-299,2,79.0,40.0,3.4,0.9,1,71.0,0,1,8.0,14,1.5,0.0,1.0,-1.0,-1.14,-0.82,0.2,1.2,-1.1,-1.23,-0.87,Matches
Lewis Brunt,eng ENG,DF,22-132,1,23.0,23.0,1.0,0.3,0,,0,1,23.0,5,0.0,0.0,1.0,-1.0,-3.91,-3.6,0.0,0.8,-0.8,-3.31,-2.95,Matches
Sammy Braybroke,mx MEX,MF,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Samuel Braybrooke,eng ENG,MF,19-006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Daniel Iversen,dk DEN,GK,25-242,0,,,,,0,,0,0,,26,,,,,,,,,,,,Matches
Wanya Marcal-Madivadua,eng ENG,MF,20-150,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kasey McAteer,eng ENG,MF,21-116,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Jannik Vestergaard,dk DEN,DF,30-227,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Joe Wormleighton,eng ENG,MF,19-078,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.0,26,2340.0,90.0,100.0,26.0,286,82.0,191,94,23.0,139,0.92,37.0,46.0,-9.0,-0.35,,32.9,43.1,-10.1,-0.39,,
Opponent Total,,,27.1,26,2340.0,90.0,100.0,26.0,286,82.0,191,94,23.0,132,1.96,46.0,37.0,9.0,0.35,,43.1,32.9,10.1,0.39,,
