Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Timothy Castagne,be BEL,DF,27-122,27.2,3,0,0,19,12,5,50,36,40,0,1,0,152,40,47,46.0,Matches
Danny Ward,wls WAL,GK,29-288,26.0,0,0,0,0,5,0,0,0,1,0,0,0,27,3,0,100.0,Matches
Harvey Barnes,eng ENG,"FW,MF",25-118,24.6,2,0,0,30,26,7,35,7,13,0,0,0,76,28,48,36.8,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-212,23.5,5,1,1,34,30,1,44,26,28,0,0,0,135,15,12,55.6,Matches
Wout Faes,be BEL,DF,25-003,22.0,6,1,1,20,14,0,0,33,24,0,0,2,129,40,28,58.8,Matches
James Maddison,eng ENG,"MF,FW",26-134,20.1,8,0,0,22,51,4,85,12,18,0,0,0,68,2,9,18.2,Matches
Youri Tielemans,be BEL,MF,25-334,19.0,3,0,0,24,14,0,33,19,28,0,0,0,156,17,10,63.0,Matches
Daniel Amartey,gh GHA,DF,28-106,16.9,1,0,0,7,3,0,0,8,6,0,1,0,98,29,25,53.7,Matches
James Justin,eng ENG,DF,25-042,13.9,0,0,0,8,29,2,21,15,18,1,0,0,64,23,32,41.8,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-111,13.9,4,0,0,26,11,0,2,30,32,0,1,0,111,18,17,51.4,Matches
Jamie Vardy,eng ENG,FW,36-085,15.1,1,0,0,19,2,16,4,2,4,0,0,0,30,34,43,44.2,Matches
Patson Daka,zm ZAM,FW,24-179,10.4,2,0,0,14,11,6,4,4,5,1,0,0,27,17,33,34.0,Matches
Boubakary Soumaré,fr FRA,MF,24-038,10.3,5,0,0,19,10,0,2,19,25,0,0,0,71,10,9,52.6,Matches
Jonny Evans,nir NIR,DF,35-093,9.0,0,0,0,7,4,0,0,16,4,0,0,0,46,20,11,64.5,Matches
Harry Souttar,au AUS,DF,24-166,9.0,2,0,0,5,5,1,0,11,8,0,0,1,41,32,4,88.9,Matches
Luke Thomas,eng ENG,DF,21-300,8.0,1,0,0,7,7,0,6,23,13,0,0,1,47,9,9,50.0,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-185,8.5,0,0,0,12,2,7,4,0,2,0,0,0,22,5,24,17.2,Matches
Nampalys Mendy,sn SEN,MF,30-287,7.8,1,0,0,8,10,0,1,13,8,0,0,0,45,3,6,33.3,Matches
Tetê,br BRA,FW,23-050,5.5,0,0,0,3,11,3,11,2,6,0,0,0,43,4,10,28.6,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-111,5.5,1,0,0,6,6,0,13,2,15,0,0,0,32,4,6,40.0,Matches
Dennis Praet,be BEL,"MF,FW",28-327,6.0,1,0,0,6,7,1,14,5,8,0,0,0,41,1,10,9.1,Matches
Ayoze Pérez,es ESP,"MF,FW",29-251,4.2,0,0,0,7,12,0,17,2,8,0,0,0,35,2,4,33.3,Matches
Ricardo Pereira,pt POR,"DF,MF",29-182,3.7,1,0,0,3,1,0,13,3,4,0,0,0,25,3,9,25.0,Matches
Daniel Iversen,dk DEN,GK,25-261,3.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,Matches
Wesley Fofana,fr FRA,DF,22-110,2.0,1,0,0,2,3,1,0,9,2,0,0,0,10,5,6,45.5,Matches
Marc Albrighton,eng ENG,"FW,MF",33-139,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0,Matches
Çağlar Söyüncü,tr TUR,DF,26-318,0.9,1,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0.0,Matches
Lewis Brunt,eng ENG,DF,22-151,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Squad Total,,,27.0,29.0,49,2,2,311,289,55,387,299,322,2,3,5,1549,365,414,46.9,
Opponent Total,,,27.2,29.0,48,2,2,298,298,57,516,279,259,2,2,2,1616,414,365,53.1,
