Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
17,Nott'ham Forest,15,5,6,4,19,18,1,21,1.4,17.8,21.0,-3.1,-0.21,14,1,3,10,5,34,-29,6,0.43,12.5,25.4,-12.9,-0.92
18,Bournemouth,15,5,4,6,15,19,-4,19,1.27,16.4,21.6,-5.2,-0.35,14,2,2,10,12,38,-26,8,0.57,11.4,29.5,-18.1,-1.29
19,Leicester City,14,3,3,8,17,19,-2,12,0.86,13.1,16.9,-3.8,-0.27,15,4,1,10,23,32,-9,13,0.87,21.8,30.2,-8.4,-0.56
20,Southampton,14,2,4,8,14,24,-10,10,0.71,16.6,19.7,-3.0,-0.22,15,4,1,10,9,23,-14,13,0.87,11.4,20.1,-8.7,-0.58
