Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Danny Ward,wls WAL,GK,29-269,26.0,945,679,261,71,0,4,0,0,0,0,0,0,708,5,2,Matches
Timothy Castagne,be BEL,DF,27-103,24.2,1327,1126,197,12,2,2,48,185,0,0,0,0,1060,4,31,Matches
Harvey Barnes,eng ENG,"MF,FW",25-099,21.6,570,558,10,0,4,1,27,8,0,0,0,0,398,2,22,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,24-193,20.7,965,939,17,7,7,16,41,2,7,7,0,0,723,9,21,Matches
Wout Faes,be BEL,DF,24-349,20.0,1344,1305,39,33,2,7,0,1,0,0,0,0,1160,0,8,Matches
Youri Tielemans,be BEL,MF,25-315,19.0,1243,1171,68,33,8,6,33,13,15,6,7,0,1021,4,32,Matches
James Maddison,eng ENG,"MF,FW",26-115,17.1,776,684,88,39,4,4,73,2,45,23,15,2,590,4,19,Matches
Daniel Amartey,gh GHA,DF,28-087,15.9,1004,987,16,12,2,2,0,4,0,0,0,0,918,1,2,Matches
James Justin,eng ENG,DF,25-023,13.9,819,687,130,16,0,4,21,114,0,0,0,0,667,2,19,Matches
Boubakary Soumaré,fr FRA,MF,24-019,10.1,536,532,4,4,1,1,1,0,0,0,0,0,473,0,8,Matches
Jamie Vardy,eng ENG,FW,36-066,14.0,187,169,18,0,1,0,4,0,0,0,0,0,101,0,6,Matches
Wilfred Ndidi,ng NGA,"MF,DF",26-092,11.1,620,600,20,14,0,4,1,3,0,0,0,0,537,0,8,Matches
Patson Daka,zm ZAM,FW,24-160,8.7,180,161,19,0,5,0,4,2,0,0,0,0,121,0,6,Matches
Jonny Evans,nir NIR,DF,35-074,9.0,675,655,19,18,0,2,0,1,0,0,0,0,603,1,4,Matches
Luke Thomas,eng ENG,DF,21-281,7.7,457,355,100,14,3,1,6,86,0,0,0,0,364,2,18,Matches
Kelechi Iheanacho,ng NGA,"FW,MF",26-166,8.3,225,215,8,0,3,3,4,2,2,0,0,0,166,2,10,Matches
Nampalys Mendy,sn SEN,MF,30-268,6.8,357,348,8,8,0,2,1,0,0,0,0,0,317,1,10,Matches
Harry Souttar,au AUS,DF,24-147,6.0,332,316,13,11,1,7,0,2,0,0,0,0,273,3,3,Matches
Dennis Praet,be BEL,"MF,FW",28-308,5.7,214,203,10,0,2,0,14,3,2,0,0,0,157,1,13,Matches
Tetê,br BRA,FW,23-031,4.3,138,125,10,0,0,1,8,0,0,0,0,0,95,3,8,Matches
Victor Bernth Kristiansen,dk DEN,DF,20-092,3.9,196,144,51,2,1,0,11,44,5,4,1,0,127,1,5,Matches
Ayoze Pérez,es ESP,"MF,FW",29-232,4.2,171,156,14,1,5,0,17,1,11,6,5,0,118,1,11,Matches
Ricardo Pereira,pt POR,"MF,DF",29-163,2.1,146,122,24,2,0,0,9,22,0,0,0,0,119,0,8,Matches
Wesley Fofana,fr FRA,DF,22-091,2.0,140,138,1,1,0,0,0,0,0,0,0,0,117,1,3,Matches
Marc Albrighton,eng ENG,"FW,MF",33-120,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10,Matches
Çağlar Söyüncü,tr TUR,DF,26-299,0.9,49,47,2,2,0,0,0,0,0,0,0,0,39,0,0,Matches
Lewis Brunt,eng ENG,DF,22-132,0.3,21,16,5,0,0,0,0,5,0,0,0,0,17,0,1,Matches
Squad Total,,,27.0,26.0,13785,12568,1169,301,52,67,351,507,94,47,31,4,11078,48,288,
Opponent Total,,,27.1,26.0,13825,12593,1178,300,47,113,450,493,156,91,36,3,11090,54,282,
