Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Etienne Vaessen,nl NED,GK,27-254,25.0,34,4,1,3,0,37.7,0.25,3.7,0.15,158,455,34.7,733,159,45.6,38.7,206,58.7,47.6,407,48,11.8,32,1.28,13.1,Matches
Joel Castro Pereira,pt POR,GK,26-282,1.0,6,1,0,0,0,4.6,0.31,-1.4,-1.41,5,17,29.4,26,8,38.5,36.1,10,70.0,50.4,31,2,6.5,0,0.0,7.5,Matches
Squad Total,,,27.3,27.0,40,5,1,3,0,42.3,0.26,2.3,0.09,163,472,34.5,759,167,45.3,38.6,216,59.3,47.7,438,50,11.4,32,1.23,12.9,
Opponent Total,,,25.8,27.0,41,3,1,3,1,39.9,0.33,-0.1,-0.01,154,348,44.3,633,105,39.0,35.8,170,59.4,48.3,315,19,6.0,46,1.77,16.2,
