Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Gabriel Batista,br BRA,GK,24-289,17,17,1530,17.0,29,1.71,88,61,69.3,2,4,11,3,17.6,4,2,1,1,33.3,Matches
Marco André Rocha Pereira,pt POR,GK,36-066,8,8,720,8.0,9,1.13,31,21,74.2,1,2,5,1,12.5,4,1,1,2,50.0,Matches
Squad Total,,,25.6,25,25,2250,25.0,38,1.52,119,82,70.6,3,6,16,4,16.0,8,3,2,3,40.0,
Opponent Total,,,26.8,25,25,2250,25.0,17,0.68,73,55,80.8,16,6,3,12,48.0,4,3,1,0,25.0,
