Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Neto,br BRA,GK,33-261,19,19,1665,18.5,26,1.41,93,68,76.3,5,6,8,4,21.1,5,4,0,1,0.0,Matches
Mark Travers,ie IRL,GK,23-323,11,10,945,10.5,31,2.95,60,31,51.7,2,0,8,2,20.0,2,2,0,0,0.0,Matches
Squad Total,,,27.0,29,29,2610,29.0,57,1.97,153,99,66.7,7,6,16,6,20.7,7,6,0,1,0.0,
Opponent Total,,,27.3,29,29,2610,29.0,27,0.93,90,63,70.0,16,6,7,14,48.3,0,0,0,0,,
