Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Ben Pearson,eng ENG,MF,28-074,7,3,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Antoine Semenyo,gh GHA,"FW,MF",23-071,6,2,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches
Siriki Dembélé,ci CIV,"FW,MF",26-193,6,0,110.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.41,0.15,0.41,Matches
Junior Stanislas,eng ENG,MF,33-113,4,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.19,0.25,0.05,0.25,Matches
Matías Viña,uy URU,"MF,DF",25-130,4,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
David Brooks,wls WAL,DF,25-254,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jamal Lowe,jm JAM,"MF,FW",28-241,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Owen Bevan,wls WAL,DF,19-144,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emiliano Marcondes,dk DEN,MF,28-010,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel Adu-Adjei,eng ENG,FW,17-271,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michael DaCosta,es ESP,FW,18-014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Will Dennis,eng ENG,GK,22-252,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Greenwood,ie IRL,DF,20-027,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Hill,eng ENG,DF,21-068,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cameron Plain,eng ENG,GK,20-111,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Euan Pollock,eng ENG,FW,20-167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Darren Randolph,ie IRL,GK,35-311,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dominic Sadi,eng ENG,MF,19-198,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Christian Saydee,lr LBR,FW,20-313,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Maxwell Wellings,eng ENG,DF,18-045,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.0,27,297,2430.0,27.0,25.0,19.0,44.0,25.0,0.0,0.0,49.0,0.0,23.4,23.4,18.2,41.6,332.0,659.0,645.0,0.93,0.7,1.63,0.93,1.63,0.87,0.67,1.54,0.87,1.54,
Opponent Total,,,27.2,27,297,2430.0,27.0,51.0,35.0,86.0,45.0,6.0,7.0,39.0,0.0,47.6,42.2,32.5,74.7,580.0,1499.0,1491.0,1.89,1.3,3.19,1.67,2.96,1.76,1.2,2.97,1.56,2.77,
