Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Rui Silva,pt POR,GK,29-055,20.0,21,1,1,4,0,23.6,0.31,2.6,0.13,122,327,37.3,526,79,40.9,36.0,172,65.1,48.7,273,13,4.8,32,1.6,17.4,Matches
Claudio Bravo,cl CHI,GK,39-355,6.0,5,1,0,0,0,4.8,0.2,-0.2,-0.03,28,97,28.9,132,23,47.7,38.1,48,70.8,50.9,93,1,1.1,4,0.67,14.7,Matches
Squad Total,,,29.3,26.0,26,2,1,4,0,28.4,0.28,2.4,0.09,150,424,35.4,658,102,42.2,36.4,220,66.4,49.2,366,14,3.8,36,1.38,16.9,
Opponent Total,,,28.1,26.0,34,8,1,2,3,37.4,0.27,6.4,0.24,117,286,40.9,679,118,30.5,32.2,170,46.5,40.6,278,13,4.7,23,0.88,16.0,
