Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Rui Silva,pt POR,GK,29-058,21,21,1890,21.0,22,1.05,82,60,74.4,11,3,7,8,38.1,1,1,0,0,0.0,Matches
Claudio Bravo,cl CHI,GK,39-358,6,6,540,6.0,5,0.83,20,15,80.0,2,3,1,2,33.3,1,1,0,0,0.0,Matches
Squad Total,,,29.2,27,27,2430,27.0,27,1.0,102,75,75.5,13,6,8,10,37.0,2,2,0,0,0.0,
Opponent Total,,,28.1,27,27,2430,27.0,34,1.26,109,77,76.1,8,6,13,8,29.6,9,8,1,0,11.1,
