Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Illan Meslier,fr FRA,GK,22-344,21.0,2,0.1,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Robin Koch,de GER,DF,26-207,19.5,6,0.31,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Pascal Struijk,nl NED,DF,23-182,18.6,28,1.5,21,3,0,3,0,1,2,0.11,0,0,0,2,0,0,Matches
Tyler Adams,us USA,MF,23-360,19.0,35,1.85,34,0,0,0,1,0,1,0.05,1,0,0,0,0,0,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,17.7,64,3.61,42,10,4,2,5,1,5,0.28,3,0,0,1,0,1,Matches
Marc Roca,es ESP,MF,26-075,16.2,25,1.54,19,4,0,0,1,1,2,0.12,1,0,0,0,1,0,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,14.8,63,4.27,36,15,4,3,3,2,5,0.34,2,1,1,1,0,0,Matches
Rodrigo,es ESP,"FW,MF",31-340,14.4,30,2.08,21,0,3,6,0,0,2,0.14,1,0,0,1,0,0,Matches
Rasmus Nissen,dk DEN,DF,25-213,12.6,20,1.59,17,1,1,1,0,0,2,0.16,2,0,0,0,0,0,Matches
Liam Cooper,sct SCO,DF,31-163,12.3,12,0.98,10,1,0,1,0,0,3,0.24,3,0,0,0,0,0,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,8.0,32,4.02,20,0,4,2,6,0,5,0.63,5,0,0,0,0,0,Matches
Luis Sinisterra,co COL,FW,23-237,6.0,22,3.69,17,0,2,1,2,0,1,0.17,0,0,1,0,0,0,Matches
Luke Ayling,eng ENG,DF,31-168,7.8,13,1.66,11,0,0,1,1,0,1,0.13,1,0,0,0,0,0,Matches
Diego Llorente,es ESP,DF,29-177,7.2,6,0.83,5,0,0,1,0,0,1,0.14,1,0,0,0,0,0,Matches
Patrick Bamford,eng ENG,FW,29-157,6.6,7,1.06,6,0,0,1,0,0,2,0.3,2,0,0,0,0,0,Matches
Crysencio Summerville,nl NED,FW,21-102,7.5,23,3.08,15,0,0,2,5,1,2,0.27,1,0,0,0,1,0,Matches
Maximilian Wöber,at AUT,DF,25-005,3.3,3,0.92,0,2,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Sam Greenwood,eng ENG,"MF,FW",21-014,3.5,15,4.26,3,11,0,1,0,0,3,0.85,0,2,0,1,0,0,Matches
Daniel James,wls WAL,FW,25-091,2.2,4,1.82,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Adam Forshaw,eng ENG,MF,31-124,1.8,4,2.26,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Joe Gelhardt,eng ENG,FW,20-281,2.4,4,1.7,4,0,0,0,0,0,2,0.85,2,0,0,0,0,0,Matches
Junior Firpo,es ESP,DF,26-171,2.3,2,0.86,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Weston McKennie,us USA,MF,24-165,1.4,1,0.73,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cody Drameh,eng ENG,DF,21-063,0.8,1,1.3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateusz Klich,pl POL,"MF,FW",32-241,3.1,7,2.26,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Georginio Rutter,fr FRA,FW,20-295,0.6,1,1.76,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Darko Gyabi,eng ENG,FW,18-356,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mateo Fernández,es ESP,"FW,MF",19-113,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,430,20.48,303,50,18,27,26,6,39,1.86,25,3,2,6,2,1,
Opponent Total,,,27.2,21.0,489,23.29,342,46,36,31,26,8,64,3.05,41,3,8,5,5,2,
