Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Illan Meslier,fr FRA,GK,22-344,21,21,1890.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Robin Koch,de GER,DF,26-207,20,20,1752.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.1,0.4,7.0,63.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches
Pascal Struijk,nl NED,DF,23-182,20,20,1677.0,18.6,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.2,1.2,2.3,3.6,22.0,100.0,45.0,0.11,0.05,0.16,0.11,0.16,0.07,0.12,0.19,0.07,0.19,Matches
Tyler Adams,us USA,MF,23-360,19,19,1706.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.3,1.4,13.0,111.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,20,19,1596.0,17.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.4,2.4,3.1,5.5,27.0,57.0,100.0,0.06,0.11,0.17,0.06,0.17,0.14,0.17,0.31,0.14,0.31,Matches
Marc Roca,es ESP,MF,26-075,20,19,1461.0,16.2,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.9,1.8,16.0,115.0,15.0,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.11,0.06,0.11,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,19,17,1328.0,14.8,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,2.4,2.4,2.7,5.1,61.0,57.0,138.0,0.07,0.27,0.34,0.07,0.34,0.16,0.18,0.34,0.16,0.34,Matches
Rodrigo,es ESP,"FW,MF",31-340,18,17,1296.0,14.4,10.0,1.0,11.0,9.0,1.0,1.0,3.0,0.0,6.5,5.7,1.5,7.2,31.0,30.0,107.0,0.69,0.07,0.76,0.62,0.69,0.45,0.1,0.55,0.4,0.5,Matches
Rasmus Nissen,dk DEN,DF,25-213,14,13,1133.0,12.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.8,1.2,12.0,46.0,58.0,0.0,0.08,0.08,0.0,0.08,0.03,0.06,0.09,0.03,0.09,Matches
Liam Cooper,sct SCO,DF,31-163,13,12,1106.0,12.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,1.5,1.0,26.0,1.0,0.08,0.0,0.08,0.08,0.08,0.08,0.04,0.12,0.08,0.12,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,10,8,716.0,8.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,1.2,2.4,37.0,15.0,73.0,0.25,0.13,0.38,0.25,0.38,0.16,0.15,0.31,0.16,0.31,Matches
Luis Sinisterra,co COL,FW,23-237,12,8,537.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,1.8,1.8,0.2,2.1,18.0,21.0,52.0,0.34,0.0,0.34,0.34,0.34,0.31,0.04,0.34,0.31,0.34,Matches
Luke Ayling,eng ENG,DF,31-168,14,7,704.0,7.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.8,1.3,12.0,32.0,37.0,0.0,0.13,0.13,0.0,0.13,0.06,0.11,0.17,0.06,0.17,Matches
Diego Llorente,es ESP,DF,29-177,8,7,649.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,2.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Patrick Bamford,eng ENG,FW,29-157,14,6,593.0,6.6,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.8,4.0,0.5,4.5,5.0,9.0,42.0,0.15,0.3,0.46,0.15,0.46,0.73,0.08,0.81,0.61,0.69,Matches
Crysencio Summerville,nl NED,FW,21-102,14,5,673.0,7.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.6,1.6,0.8,2.3,25.0,20.0,43.0,0.53,0.13,0.67,0.53,0.67,0.21,0.11,0.31,0.21,0.31,Matches
Maximilian Wöber,at AUT,DF,25-005,4,3,295.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.16,0.1,0.16,Matches
Sam Greenwood,eng ENG,"MF,FW",21-014,12,2,318.0,3.5,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.8,1.5,5.0,11.0,5.0,0.28,0.57,0.85,0.28,0.85,0.18,0.24,0.42,0.18,0.42,Matches
Daniel James,wls WAL,FW,25-091,4,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.15,0.27,0.12,0.27,Matches
