Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Illan Meslier,fr FRA,GK,22-344,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robin Koch,de GER,DF,26-207,19.5,0,6,1,16.7,0.31,0.05,0.0,0.0,12.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Pascal Struijk,nl NED,DF,23-182,18.6,2,13,6,46.2,0.7,0.32,0.15,0.33,12.3,0,0,0,1.2,1.2,0.09,0.8,0.8,Matches
Tyler Adams,us USA,MF,23-360,19.0,0,2,0,0.0,0.11,0.0,0.0,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,17.7,1,27,5,18.5,1.52,0.28,0.04,0.2,19.0,2,0,0,2.4,2.4,0.09,-1.4,-1.4,Matches
Marc Roca,es ESP,MF,26-075,16.2,1,15,6,40.0,0.92,0.37,0.07,0.17,21.8,1,0,0,0.9,0.9,0.06,0.1,0.1,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,14.8,1,18,7,38.9,1.22,0.47,0.06,0.14,18.5,1,0,0,2.4,2.4,0.13,-1.4,-1.4,Matches
Rodrigo,es ESP,"FW,MF",31-340,14.4,10,52,19,36.5,3.61,1.32,0.17,0.47,16.4,2,1,1,6.5,5.7,0.11,3.5,3.3,Matches
Rasmus Nissen,dk DEN,DF,25-213,12.6,0,7,1,14.3,0.56,0.08,0.0,0.0,14.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Liam Cooper,sct SCO,DF,31-163,12.3,1,9,2,22.2,0.73,0.16,0.11,0.5,8.9,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,8.0,2,13,6,46.2,1.63,0.75,0.15,0.33,18.0,0,0,0,1.2,1.2,0.1,0.8,0.8,Matches
Luis Sinisterra,co COL,FW,23-237,6.0,2,13,5,38.5,2.18,0.84,0.15,0.4,17.3,0,0,0,1.8,1.8,0.14,0.2,0.2,Matches
Luke Ayling,eng ENG,DF,31-168,7.8,0,7,1,14.3,0.89,0.13,0.0,0.0,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Diego Llorente,es ESP,DF,29-177,7.2,0,6,0,0.0,0.83,0.0,0.0,,12.5,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
Patrick Bamford,eng ENG,FW,29-157,6.6,1,20,9,45.0,3.04,1.37,0.05,0.11,14.2,0,0,1,4.8,4.0,0.2,-3.8,-3.0,Matches
Crysencio Summerville,nl NED,FW,21-102,7.5,4,13,5,38.5,1.74,0.67,0.31,0.8,15.9,0,0,0,1.6,1.6,0.12,2.4,2.4,Matches
Maximilian Wöber,at AUT,DF,25-005,3.3,0,4,0,0.0,1.22,0.0,0.0,,17.6,1,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Sam Greenwood,eng ENG,"MF,FW",21-014,3.5,1,11,2,18.2,3.11,0.57,0.09,0.5,24.3,5,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Daniel James,wls WAL,FW,25-091,2.2,0,3,1,33.3,1.36,0.45,0.0,0.0,17.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Adam Forshaw,eng ENG,MF,31-124,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joe Gelhardt,eng ENG,FW,20-281,2.4,0,10,2,20.0,4.25,0.85,0.0,0.0,23.5,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Junior Firpo,es ESP,DF,26-171,2.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Weston McKennie,us USA,MF,24-165,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cody Drameh,eng ENG,DF,21-063,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mateusz Klich,pl POL,"MF,FW",32-241,3.1,0,4,1,25.0,1.29,0.32,0.0,0.0,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Georginio Rutter,fr FRA,FW,20-295,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Darko Gyabi,eng ENG,FW,18-356,0.1,0,1,0,0.0,11.25,0.0,0.0,,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Mateo Fernández,es ESP,"FW,MF",19-113,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.7,21.0,26,254,79,31.1,12.1,3.76,0.1,0.32,17.3,13,1,2,27.2,25.6,0.1,-1.2,-0.6,
Opponent Total,,,27.2,21.0,35,281,96,34.2,13.38,4.57,0.12,0.34,17.1,9,2,2,32.2,30.7,0.11,2.8,2.3,
