Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Illan Meslier,fr FRA,GK,22-344,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.9,28.0,36.0,-8.0,-0.38,,27.2,32.2,-5.0,-0.24,,Matches
Robin Koch,de GER,DF,26-207,20,1752.0,88.0,92.7,19.5,20,88.0,18,0,,0,0.95,28.0,35.0,-7.0,-0.36,0.29,25.2,31.5,-6.3,-0.32,-1.2,Matches
Pascal Struijk,nl NED,DF,23-182,20,1677.0,84.0,88.7,18.6,20,84.0,16,0,,0,0.95,25.0,32.0,-7.0,-0.38,0.05,24.8,28.9,-4.1,-0.22,0.14,Matches
Tyler Adams,us USA,MF,23-360,19,1706.0,90.0,90.3,19.0,19,90.0,18,0,,0,1.0,25.0,30.0,-5.0,-0.26,1.2,25.0,26.1,-1.0,-0.06,1.87,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,20,1596.0,80.0,84.4,17.7,19,83.0,8,1,28.0,1,0.95,24.0,33.0,-9.0,-0.51,-0.81,23.4,28.4,-5.0,-0.28,-0.3,Matches
Marc Roca,es ESP,MF,26-075,20,1461.0,73.0,77.3,16.2,19,75.0,4,1,45.0,0,0.9,20.0,30.0,-10.0,-0.62,-1.04,19.4,25.2,-5.7,-0.35,-0.51,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,19,1328.0,70.0,70.3,14.8,17,75.0,5,2,27.0,1,1.0,17.0,20.0,-3.0,-0.2,0.6,19.2,20.3,-1.2,-0.08,0.53,Matches
Rodrigo,es ESP,"FW,MF",31-340,18,1296.0,72.0,68.6,14.4,17,74.0,5,1,45.0,0,1.0,18.0,24.0,-6.0,-0.42,-0.11,18.8,22.2,-3.4,-0.24,-0.01,Matches
Rasmus Nissen,dk DEN,DF,25-213,14,1133.0,81.0,59.9,12.6,13,86.0,9,1,21.0,6,1.14,18.0,21.0,-3.0,-0.24,0.36,17.0,18.4,-1.4,-0.11,0.31,Matches
Liam Cooper,sct SCO,DF,31-163,13,1106.0,85.0,58.5,12.3,12,88.0,11,1,45.0,1,0.69,15.0,22.0,-7.0,-0.57,-0.45,16.3,19.6,-3.3,-0.27,-0.08,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,10,716.0,72.0,37.9,8.0,8,82.0,4,2,32.0,3,1.0,12.0,12.0,0.0,0.0,0.61,8.8,13.4,-4.6,-0.58,-0.55,Matches
Luis Sinisterra,co COL,FW,23-237,12,537.0,45.0,28.4,6.0,8,57.0,0,4,20.0,0,0.67,4.0,10.0,-6.0,-1.01,-0.87,7.7,5.6,2.1,0.36,0.83,Matches
Luke Ayling,eng ENG,DF,31-168,14,704.0,50.0,37.2,7.8,7,87.0,6,7,14.0,2,0.79,9.0,14.0,-5.0,-0.64,-0.41,9.7,12.9,-3.1,-0.4,-0.26,Matches
Diego Llorente,es ESP,DF,29-177,8,649.0,81.0,34.3,7.2,7,90.0,7,1,19.0,11,1.0,11.0,12.0,-1.0,-0.14,0.37,10.9,10.4,0.5,0.07,0.47,Matches
Patrick Bamford,eng ENG,FW,29-157,14,593.0,42.0,31.4,6.6,6,61.0,0,8,29.0,0,0.79,9.0,11.0,-2.0,-0.3,0.11,9.1,9.8,-0.7,-0.11,0.19,Matches
Crysencio Summerville,nl NED,FW,21-102,14,673.0,48.0,35.6,7.5,5,84.0,3,9,28.0,5,0.93,13.0,19.0,-6.0,-0.8,-0.65,10.1,11.9,-1.8,-0.24,-0.01,Matches
Maximilian Wöber,at AUT,DF,25-005,4,295.0,74.0,15.6,3.3,3,90.0,3,1,25.0,0,0.5,3.0,3.0,0.0,0.0,0.45,2.7,3.4,-0.7,-0.21,0.03,Matches
Sam Greenwood,eng ENG,"MF,FW",21-014,12,318.0,27.0,16.8,3.5,2,83.0,1,10,15.0,9,1.0,8.0,9.0,-1.0,-0.28,0.12,5.3,7.8,-2.6,-0.72,-0.59,Matches
Daniel James,wls WAL,FW,25-091,4,198.0,50.0,10.5,2.2,2,64.0,0,2,36.0,0,1.25,5.0,2.0,3.0,1.36,1.95,3.9,4.1,-0.2,-0.1,0.15,Matches
Adam Forshaw,eng ENG,MF,31-124,5,159.0,32.0,8.4,1.8,2,55.0,0,3,17.0,2,1.0,1.0,3.0,-2.0,-1.13,-0.82,1.7,5.0,-3.3,-1.86,-1.77,Matches
Joe Gelhardt,eng ENG,FW,20-281,15,212.0,14.0,11.2,2.4,1,58.0,0,14,11.0,2,0.8,6.0,3.0,3.0,1.27,1.86,3.7,2.7,1.0,0.43,0.76,Matches
Junior Firpo,es ESP,DF,26-171,5,209.0,42.0,11.1,2.3,1,81.0,0,4,32.0,9,0.4,1.0,4.0,-3.0,-1.29,-1.02,1.7,3.6,-1.9,-0.83,-0.67,Matches
Weston McKennie,us USA,MF,24-165,2,123.0,62.0,6.5,1.4,1,89.0,0,1,34.0,0,0.5,2.0,2.0,0.0,0.0,0.41,0.7,2.0,-1.3,-0.94,-0.76,Matches
Cody Drameh,eng ENG,DF,21-063,1,69.0,69.0,3.7,0.8,1,69.0,0,0,,5,0.0,1.0,3.0,-2.0,-2.61,-2.31,0.5,1.3,-0.8,-1.05,-0.84,Matches
Mateusz Klich,pl POL,"MF,FW",32-241,14,280.0,20.0,14.8,3.1,0,,0,14,20.0,2,0.79,5.0,5.0,0.0,0.0,0.45,6.3,4.5,1.8,0.57,0.95,Matches
Georginio Rutter,fr FRA,FW,20-295,2,52.0,26.0,2.8,0.6,0,,0,2,26.0,1,0.5,0.0,1.0,-1.0,-1.73,-1.39,0.1,0.9,-0.8,-1.43,-1.23,Matches
Darko Gyabi,eng ENG,FW,18-356,1,8.0,8.0,0.4,0.1,0,,0,1,8.0,6,0.0,0.0,0.0,0.0,0.0,0.38,0.1,0.3,-0.2,-2.3,-2.08,Matches
Mateo Fernández,es ESP,"FW,MF",19-113,2,3.0,2.0,0.2,0.0,0,,0,2,2.0,2,0.5,0.0,0.0,0.0,0.0,0.38,0.0,0.3,-0.3,-7.59,-7.37,Matches
Leo Fuhr Hjelde,no NOR,DF,19-167,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Archie Gray,eng ENG,MF,16-334,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kristoffer Klaesson,no NOR,GK,22-074,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
Sonny Perkins,eng ENG,FW,18-364,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Joel Robles,es ESP,GK,32-237,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Squad Total,,,25.7,21,1890.0,90.0,100.0,21.0,231,81.0,139,92,21.0,97,0.9,28.0,36.0,-8.0,-0.38,,27.2,32.2,-5.0,-0.24,,
Opponent Total,,,27.2,21,1890.0,90.0,100.0,21.0,231,81.0,139,92,21.0,117,1.76,36.0,28.0,8.0,0.38,,32.2,27.2,5.0,0.24,,
