Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Illan Meslier,fr FRA,GK,22-344,21.0,636,420,215,49,0,0,0,0,0,0,0,0,382,1,1,Matches
Robin Koch,de GER,DF,26-207,19.5,922,892,28,28,2,4,1,0,0,0,0,0,702,2,18,Matches
Pascal Struijk,nl NED,DF,23-182,18.6,1070,835,230,15,0,2,17,215,0,0,0,0,844,5,24,Matches
Tyler Adams,us USA,MF,23-360,19.0,1091,1031,60,47,1,1,2,13,0,0,0,0,895,0,19,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,17.7,549,498,51,17,3,0,45,4,26,12,11,1,411,0,15,Matches
Marc Roca,es ESP,MF,26-075,16.2,862,815,44,26,0,7,37,3,14,8,5,0,662,3,13,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,14.8,599,519,77,19,4,5,96,14,43,17,18,3,381,3,30,Matches
Rodrigo,es ESP,"FW,MF",31-340,14.4,390,351,36,0,4,7,13,4,1,0,0,0,274,3,7,Matches
Rasmus Nissen,dk DEN,DF,25-213,12.6,675,522,151,7,0,0,27,144,0,0,0,0,474,2,23,Matches
Liam Cooper,sct SCO,DF,31-163,12.3,609,585,24,24,0,4,0,0,0,0,0,0,480,0,2,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,8.0,266,255,7,1,3,0,20,1,5,2,0,0,181,4,23,Matches
Luis Sinisterra,co COL,FW,23-237,6.0,220,217,3,0,2,4,4,3,0,0,0,0,181,0,6,Matches
Luke Ayling,eng ENG,DF,31-168,7.8,384,305,77,4,0,5,17,73,0,0,0,0,258,2,14,Matches
Diego Llorente,es ESP,DF,29-177,7.2,429,417,11,10,0,4,1,0,0,0,0,0,356,1,2,Matches
Patrick Bamford,eng ENG,FW,29-157,6.6,126,111,15,0,0,0,1,0,0,0,0,0,89,0,5,Matches
Crysencio Summerville,nl NED,FW,21-102,7.5,226,224,1,1,0,1,9,0,0,0,0,0,169,1,8,Matches
Maximilian Wöber,at AUT,DF,25-005,3.3,211,201,10,4,0,0,0,6,0,0,0,0,153,0,3,Matches
Sam Greenwood,eng ENG,"MF,FW",21-014,3.5,143,116,27,10,0,1,28,1,16,10,6,0,88,0,1,Matches
Daniel James,wls WAL,FW,25-091,2.2,40,40,0,0,0,0,6,0,0,0,0,0,24,0,4,Matches
Adam Forshaw,eng ENG,MF,31-124,1.8,65,61,4,2,0,0,4,0,2,1,1,0,54,0,1,Matches
Joe Gelhardt,eng ENG,FW,20-281,2.4,67,62,3,0,1,0,1,0,0,0,0,0,43,2,4,Matches
Junior Firpo,es ESP,DF,26-171,2.3,108,80,27,0,0,0,0,27,0,0,0,0,79,1,5,Matches
Weston McKennie,us USA,MF,24-165,1.4,61,59,2,1,0,0,0,1,0,0,0,0,42,0,2,Matches
Cody Drameh,eng ENG,DF,21-063,0.8,38,31,7,1,0,0,1,6,0,0,0,0,30,0,1,Matches
Mateusz Klich,pl POL,"MF,FW",32-241,3.1,148,139,9,2,0,0,8,4,3,1,1,0,108,0,7,Matches
Georginio Rutter,fr FRA,FW,20-295,0.6,8,5,2,0,0,0,0,0,0,0,0,0,3,1,1,Matches
Darko Gyabi,eng ENG,FW,18-356,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Mateo Fernández,es ESP,"FW,MF",19-113,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,25.7,21.0,9948,8796,1121,268,20,45,338,519,110,51,42,4,7368,31,239,
Opponent Total,,,27.2,21.0,9985,8847,1099,290,34,92,340,508,96,45,31,5,7501,39,239,
