Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Illan Meslier,fr FRA,GK,22-344,21.0,1,0,1,0,0,1,3,33.3,2,0,0,0,1,2,15,0,Matches
Robin Koch,de GER,DF,26-207,19.5,31,17,21,8,2,15,28,53.6,13,27,12,15,29,60,75,1,Matches
Pascal Struijk,nl NED,DF,23-182,18.6,63,44,31,24,8,34,55,61.8,21,25,7,18,26,89,49,0,Matches
Tyler Adams,us USA,MF,23-360,19.0,78,38,39,32,7,42,60,70.0,18,35,6,29,27,105,22,0,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,17.7,29,9,8,16,5,9,26,34.6,17,30,2,28,1,30,5,1,Matches
Marc Roca,es ESP,MF,26-075,16.2,41,27,14,25,2,11,33,33.3,22,21,7,14,19,60,15,0,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,14.8,24,9,1,9,14,6,21,28.6,15,20,1,19,5,29,7,0,Matches
Rodrigo,es ESP,"FW,MF",31-340,14.4,10,4,1,5,4,4,10,40.0,6,10,2,8,3,13,16,1,Matches
Rasmus Nissen,dk DEN,DF,25-213,12.6,39,20,20,14,5,25,36,69.4,11,19,9,10,21,60,36,0,Matches
Liam Cooper,sct SCO,DF,31-163,12.3,27,19,20,6,1,14,21,66.7,7,8,3,5,25,52,42,2,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,8.0,14,9,3,7,4,3,13,23.1,10,10,0,10,1,15,5,0,Matches
Luis Sinisterra,co COL,FW,23-237,6.0,14,9,3,9,2,7,12,58.3,5,4,0,4,6,20,1,0,Matches
Luke Ayling,eng ENG,DF,31-168,7.8,26,14,19,3,4,13,25,52.0,12,17,6,11,12,38,17,0,Matches
Diego Llorente,es ESP,DF,29-177,7.2,13,10,8,5,0,4,8,50.0,4,6,2,4,15,28,24,2,Matches
Patrick Bamford,eng ENG,FW,29-157,6.6,4,3,0,4,0,2,11,18.2,9,3,1,2,0,4,6,0,Matches
Crysencio Summerville,nl NED,FW,21-102,7.5,16,11,8,7,1,7,10,70.0,3,10,1,9,4,20,5,0,Matches
Maximilian Wöber,at AUT,DF,25-005,3.3,5,5,2,3,0,3,5,60.0,2,7,4,3,5,10,9,0,Matches
Sam Greenwood,eng ENG,"MF,FW",21-014,3.5,9,5,5,4,0,3,11,27.3,8,7,1,6,1,10,1,0,Matches
Daniel James,wls WAL,FW,25-091,2.2,6,2,1,3,2,3,6,50.0,3,4,0,4,2,8,2,0,Matches
Adam Forshaw,eng ENG,MF,31-124,1.8,2,1,0,2,0,1,6,16.7,5,3,0,3,0,2,1,0,Matches
Joe Gelhardt,eng ENG,FW,20-281,2.4,6,2,1,3,2,3,5,60.0,2,5,0,5,0,6,4,0,Matches
Junior Firpo,es ESP,DF,26-171,2.3,6,4,1,4,1,3,9,33.3,6,5,2,3,1,7,7,0,Matches
Weston McKennie,us USA,MF,24-165,1.4,3,1,1,2,0,0,4,0.0,4,4,0,4,3,6,7,0,Matches
Cody Drameh,eng ENG,DF,21-063,0.8,5,4,0,4,1,2,3,66.7,1,0,0,0,1,6,1,0,Matches
Mateusz Klich,pl POL,"MF,FW",32-241,3.1,12,8,3,4,5,7,13,53.8,6,4,0,4,0,12,1,0,Matches
Georginio Rutter,fr FRA,FW,20-295,0.6,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,2,0,Matches
Darko Gyabi,eng ENG,FW,18-356,0.1,2,2,1,1,0,0,0,,0,2,0,2,0,2,0,0,Matches
Mateo Fernández,es ESP,"FW,MF",19-113,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Squad Total,,,25.7,21.0,487,278,213,204,70,223,436,51.1,213,287,66,221,209,696,376,7,
Opponent Total,,,27.2,21.0,393,221,196,151,46,182,318,57.2,136,291,80,211,240,633,395,4,
