Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Illan Meslier,fr FRA,GK,22-344,21.0,36,2,1,4,1,29.1,0.28,-5.9,-0.28,61,292,20.9,469,115,42.2,34.7,166,56.6,43.4,265,21,7.9,42,2.0,16.3,Matches
Squad Total,,,25.7,21.0,36,2,1,4,1,29.1,0.28,-5.9,-0.28,61,292,20.9,469,115,42.2,34.7,166,56.6,43.4,265,21,7.9,42,2.0,16.3,
Opponent Total,,,27.2,21.0,28,1,0,5,2,26.7,0.32,0.7,0.03,94,302,31.1,585,109,39.5,34.5,155,45.8,38.7,261,25,9.6,22,1.05,13.4,
