Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Illan Meslier,fr FRA,GK,22-344,21.0,382,636,60.1,9581,6244,92,95,96.8,191,196,97.4,98,342,28.7,0,0.0,0.0,0.0,0,7,1,0,0,Matches
Robin Koch,de GER,DF,26-207,19.5,702,922,76.1,13583,6314,230,273,84.2,385,452,85.2,77,161,47.8,0,0.1,0.2,-0.1,1,69,3,0,63,Matches
Pascal Struijk,nl NED,DF,23-182,18.6,844,1070,78.9,12028,5458,494,559,88.4,290,366,79.2,33,75,44.0,1,2.3,1.1,-1.3,12,77,12,3,100,Matches
Tyler Adams,us USA,MF,23-360,19.0,895,1091,82.0,13587,4198,488,555,87.9,320,378,84.7,54,90,60.0,0,1.3,0.9,-1.3,23,83,12,0,111,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,17.7,411,549,74.9,5186,1517,235,287,81.9,105,137,76.6,16,42,38.1,2,3.1,1.6,-1.1,31,31,8,2,57,Matches
Marc Roca,es ESP,MF,26-075,16.2,662,862,76.8,10735,4340,341,396,86.1,244,303,80.5,54,113,47.8,1,0.9,1.0,0.1,17,108,11,0,115,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,14.8,381,599,63.6,5391,2004,229,279,82.1,103,170,60.6,24,79,30.4,4,2.7,2.8,1.3,30,36,24,8,57,Matches
Rodrigo,es ESP,"FW,MF",31-340,14.4,274,390,70.3,4040,732,145,185,78.4,83,120,69.2,23,40,57.5,1,1.5,0.7,-0.5,13,19,11,2,30,Matches
Rasmus Nissen,dk DEN,DF,25-213,12.6,474,675,70.2,7712,3301,230,283,81.3,206,281,73.3,27,71,38.0,1,0.8,0.7,0.2,7,35,14,2,46,Matches
Liam Cooper,sct SCO,DF,31-163,12.3,480,609,78.8,8789,3371,186,212,87.7,248,296,83.8,38,84,45.2,0,0.5,0.2,-0.5,4,29,0,0,26,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,8.0,181,266,68.0,2161,597,116,142,81.7,43,59,72.9,4,8,50.0,1,1.2,1.4,-0.2,14,4,11,2,15,Matches
Luis Sinisterra,co COL,FW,23-237,6.0,181,220,82.3,2520,613,94,110,85.5,56,62,90.3,9,11,81.8,0,0.2,0.5,-0.2,4,12,8,1,21,Matches
Luke Ayling,eng ENG,DF,31-168,7.8,258,384,67.2,4162,2108,147,181,81.2,82,122,67.2,25,51,49.0,1,0.8,0.9,0.2,4,26,9,4,32,Matches
Diego Llorente,es ESP,DF,29-177,7.2,356,429,83.0,6969,2284,118,130,90.8,203,228,89.0,33,59,55.9,0,0.0,0.0,0.0,0,17,0,0,27,Matches
