Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Illan Meslier,fr FRA,GK,22-344,21,21,1890,21.0,36,1.71,98,63,65.3,4,7,10,4,19.0,2,2,0,0,0.0,Matches
Squad Total,,,25.7,21,21,1890,21.0,36,1.71,98,63,65.3,4,7,10,4,19.0,2,2,0,0,0.0,
Opponent Total,,,27.2,21,21,1890,21.0,28,1.33,80,54,66.3,10,7,4,7,33.3,2,1,0,1,0.0,
