Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Illan Meslier,fr FRA,GK,22-344,21.0,2,0,0,1,2,0,0,1,0,0,0,0,18,6,1,85.7,Matches
Robin Koch,de GER,DF,26-207,19.5,5,0,0,24,11,0,1,29,17,0,0,1,112,50,29,63.3,Matches
Pascal Struijk,nl NED,DF,23-182,18.6,4,0,0,25,11,0,17,26,44,0,1,0,100,44,34,56.4,Matches
Tyler Adams,us USA,MF,23-360,19.0,5,1,1,33,20,1,2,27,38,0,0,0,165,17,12,58.6,Matches
Brenden Aaronson,us USA,"MF,FW",22-110,17.7,2,0,0,11,40,3,45,1,9,0,0,0,86,6,21,22.2,Matches
Marc Roca,es ESP,MF,26-075,16.2,4,0,0,20,15,0,37,19,27,0,0,0,98,13,10,56.5,Matches
Jack Harrison,eng ENG,"FW,MF",26-081,14.8,2,0,0,21,21,1,96,5,9,0,0,0,85,4,23,14.8,Matches
Rodrigo,es ESP,"FW,MF",31-340,14.4,3,0,0,16,4,7,13,3,4,0,0,0,37,19,42,31.1,Matches
Rasmus Nissen,dk DEN,DF,25-213,12.6,4,0,0,16,4,1,27,21,20,0,0,0,60,20,14,58.8,Matches
Liam Cooper,sct SCO,DF,31-163,12.3,2,0,0,9,8,0,0,25,19,0,0,0,81,46,27,63.0,Matches
Degnand Gnonto,it ITA,"FW,MF",19-096,8.0,2,0,0,12,22,2,20,1,9,0,0,0,39,4,11,26.7,Matches
Luis Sinisterra,co COL,FW,23-237,6.0,3,1,1,9,9,3,4,6,9,0,1,0,36,10,9,52.6,Matches
Luke Ayling,eng ENG,DF,31-168,7.8,1,0,0,7,15,1,17,12,14,0,0,0,54,24,23,51.1,Matches
Diego Llorente,es ESP,DF,29-177,7.2,1,0,0,6,2,0,1,15,10,0,0,0,57,18,7,72.0,Matches
Patrick Bamford,eng ENG,FW,29-157,6.6,0,0,0,8,6,9,1,0,3,0,0,0,19,9,18,33.3,Matches
Crysencio Summerville,nl NED,FW,21-102,7.5,2,0,0,11,18,3,9,4,11,1,0,0,35,3,8,27.3,Matches
Maximilian Wöber,at AUT,DF,25-005,3.3,1,0,0,2,0,0,0,5,5,0,0,0,21,6,3,66.7,Matches
Sam Greenwood,eng ENG,"MF,FW",21-014,3.5,1,0,0,8,2,0,28,1,5,0,0,0,26,1,3,25.0,Matches
Daniel James,wls WAL,FW,25-091,2.2,0,0,0,2,6,0,6,2,2,0,0,0,7,0,4,0.0,Matches
Adam Forshaw,eng ENG,MF,31-124,1.8,0,0,0,2,3,0,4,0,1,0,0,0,10,0,1,0.0,Matches
Joe Gelhardt,eng ENG,FW,20-281,2.4,1,0,0,6,8,0,1,0,2,0,0,0,9,5,11,31.3,Matches
Junior Firpo,es ESP,DF,26-171,2.3,1,0,0,8,0,0,0,1,4,0,0,0,10,3,5,37.5,Matches
Weston McKennie,us USA,MF,24-165,1.4,1,0,0,4,0,0,0,3,1,0,0,0,11,6,1,85.7,Matches
Cody Drameh,eng ENG,DF,21-063,0.8,0,0,0,1,0,0,1,1,4,0,0,0,5,1,0,100.0,Matches
Mateusz Klich,pl POL,"MF,FW",32-241,3.1,2,0,0,10,3,0,8,0,8,0,0,0,24,1,2,33.3,Matches
Georginio Rutter,fr FRA,FW,20-295,0.6,0,0,0,1,2,0,0,1,1,0,0,0,1,3,1,75.0,Matches
Darko Gyabi,eng ENG,FW,18-356,0.1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,,Matches
Mateo Fernández,es ESP,"FW,MF",19-113,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.7,21.0,49,2,2,273,233,31,338,209,278,1,2,1,1209,319,320,49.9,
Opponent Total,,,27.2,21.0,40,1,1,244,267,39,340,240,221,2,2,2,1234,320,319,50.1,
