Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Vito Mannone,it ITA,GK,35-035,16,15,1428,15.9,21,1.32,76,55,73.7,4,5,6,4,26.7,1,1,0,0,0.0,Matches
Yvon Mvogo,ch SUI,GK,28-304,14,14,1182,13.1,19,1.45,64,46,70.3,8,3,3,3,21.4,0,0,0,0,,Matches
Squad Total,,,25.9,29,29,2610,29.0,40,1.38,140,101,72.1,12,8,9,7,24.1,1,1,0,0,0.0,
Opponent Total,,,27.1,29,29,2610,29.0,42,1.45,123,83,68.3,9,8,12,6,20.7,4,3,1,0,25.0,
