Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Montassar Talbi,tn TUN,DF,24-297,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,1.59,40.0,36.0,4.0,0.15,,34.1,41.9,-7.8,-0.29,,Matches
Enzo Le Fée,fr FRA,MF,23-044,27,2334.0,86.0,96.0,25.9,27,86.0,18,0,,0,1.59,39.0,36.0,3.0,0.12,-0.82,32.0,40.4,-8.5,-0.33,-0.96,Matches
Vincent Le Goff,fr FRA,DF,33-155,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,1,1.65,40.0,35.0,5.0,0.19,1.19,33.0,40.9,-7.9,-0.3,-0.42,Matches
Gedeon Kalulu,cd COD,DF,25-202,22,1980.0,90.0,81.5,22.0,22,90.0,22,0,,0,1.59,34.0,32.0,2.0,0.09,-0.31,27.5,38.3,-10.8,-0.49,-1.09,Matches
Dango Ouattara,bf BFA,"FW,MF",21-036,18,1548.0,86.0,63.7,17.2,18,86.0,13,0,,0,1.61,27.0,25.0,2.0,0.12,-0.09,21.1,26.6,-5.4,-0.32,-0.08,Matches
Julien Laporte,fr FRA,DF,29-135,18,1540.0,86.0,63.4,17.1,18,86.0,16,0,,0,1.72,29.0,24.0,5.0,0.29,0.39,22.1,25.6,-3.5,-0.2,0.23,Matches
Laurent Abergel,fr FRA,MF,30-046,19,1461.0,77.0,60.1,16.2,18,80.0,11,1,26.0,0,2.05,26.0,21.0,5.0,0.31,0.4,22.1,25.6,-3.5,-0.22,0.18,Matches
Terem Moffi,ng NGA,FW,23-298,18,1386.0,77.0,57.0,15.4,17,80.0,6,1,31.0,0,1.72,25.0,25.0,0.0,0.0,-0.34,18.0,25.5,-7.5,-0.49,-0.46,Matches
Julien Ponceau,fr FRA,MF,22-111,24,1344.0,56.0,55.3,14.9,16,72.0,2,8,24.0,2,1.42,29.0,23.0,6.0,0.4,0.57,20.6,23.7,-3.1,-0.21,0.18,Matches
Yvon Mvogo,ch SUI,GK,28-286,14,1182.0,84.0,48.6,13.1,14,84.0,13,0,,0,1.93,24.0,19.0,5.0,0.38,0.45,19.0,19.2,-0.3,-0.02,0.52,Matches
Vito Mannone,it ITA,GK,35-017,14,1248.0,89.0,51.4,13.9,13,90.0,13,1,78.0,7,1.14,16.0,17.0,-1.0,-0.07,-0.45,15.2,22.7,-7.5,-0.54,-0.52,Matches
Stéphane Diarra,fr FRA,"FW,MF",24-100,24,974.0,41.0,40.1,10.8,13,63.0,0,11,14.0,3,1.63,20.0,18.0,2.0,0.18,0.06,13.9,18.1,-4.2,-0.39,-0.17,Matches
Théo Le Bris,fr FRA,"MF,DF",20-169,20,1107.0,55.0,45.6,12.3,12,77.0,5,8,23.0,1,1.75,17.0,16.0,1.0,0.08,-0.12,14.9,20.2,-5.3,-0.43,-0.26,Matches
Bonke Innocent,ng NGA,MF,27-058,19,914.0,48.0,37.6,10.2,10,70.0,2,9,23.0,5,1.74,12.0,16.0,-4.0,-0.39,-0.87,8.3,18.1,-9.8,-0.97,-1.09,Matches
Ibrahima Koné,ml MLI,FW,23-276,26,948.0,36.0,39.0,10.5,8,76.0,3,18,19.0,1,1.62,14.0,11.0,3.0,0.28,0.22,12.8,14.5,-1.7,-0.16,0.21,Matches
Yoann Cathline,fr FRA,"FW,MF",20-240,14,725.0,52.0,29.8,8.1,7,79.0,3,7,25.0,4,1.21,10.0,10.0,0.0,0.0,-0.21,8.6,11.1,-2.5,-0.31,-0.04,Matches
Bamo Meïté,ci CIV,DF,21-272,8,699.0,87.0,28.8,7.8,7,90.0,7,1,69.0,8,1.33,10.0,9.0,1.0,0.13,-0.03,10.8,11.6,-0.8,-0.1,0.26,Matches
Jean-Victor Makengo,fr FRA,MF,24-280,7,526.0,75.0,21.6,5.8,6,81.0,4,1,39.0,0,1.14,5.0,4.0,1.0,0.17,0.03,8.3,6.6,1.6,0.28,0.73,Matches
