Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Aitor Fernández,es ESP,GK,31-320,13,13,1170,13.0,10,0.77,45,35,77.8,5,5,3,6,46.2,0,0,0,0,,Matches
Sergio Herrera,es ESP,GK,29-287,12,12,1080,12.0,14,1.17,46,31,71.7,4,2,6,2,16.7,4,1,1,2,50.0,Matches
Squad Total,,,28.4,25,25,2250,25.0,24,0.96,91,66,74.7,9,7,9,8,32.0,4,1,1,2,50.0,
Opponent Total,,,27.9,25,25,2250,25.0,22,0.88,90,69,80.0,9,7,9,10,40.0,5,4,0,1,0.0,
