Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Aitor Fernández,es ESP,GK,31-320,13.0,10,0,0,0,0,11.4,0.28,1.4,0.11,107,259,41.3,383,67,50.4,40.8,97,68.0,51.3,186,10,5.4,20,1.54,14.9,Matches
Sergio Herrera,es ESP,GK,29-287,12.0,14,1,1,2,0,13.2,0.24,-0.8,-0.07,102,242,42.1,324,37,57.7,43.8,92,59.8,47.2,151,8,5.3,18,1.5,19.0,Matches
Squad Total,,,28.4,25.0,24,1,1,2,0,24.6,0.26,0.6,0.02,209,501,41.7,707,104,53.7,42.2,189,64.0,49.3,337,18,5.3,38,1.52,16.6,
Opponent Total,,,27.9,25.0,22,4,0,4,1,24.3,0.23,3.3,0.13,128,362,35.4,740,115,33.2,33.7,208,55.8,44.8,432,24,5.6,26,1.04,15.2,
