Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
13,Leeds United,14,5,5,4,20,19,1,20,1.43,17.9,20.4,-2.4,-0.17,15,2,3,10,18,30,-12,9,0.6,18.6,26.1,-7.5,-0.5
14,Wolves,14,5,2,7,12,19,-7,17,1.21,16.1,20.1,-4.0,-0.29,15,2,5,8,11,23,-12,11,0.73,13.3,21.7,-8.4,-0.56
15,West Ham,15,6,3,6,19,19,0,21,1.4,21.1,17.7,3.4,0.23,13,1,3,9,7,20,-13,6,0.46,14.5,17.1,-2.5,-0.19
16,Everton,15,5,3,7,13,17,-4,18,1.2,18.5,21.3,-2.8,-0.19,14,1,6,7,10,24,-14,9,0.64,13.0,27.0,-14.0,-1.0
17,Nott'ham Forest,15,5,6,4,19,18,1,21,1.4,17.8,21.0,-3.1,-0.21,14,1,3,10,5,34,-29,6,0.43,12.5,25.4,-12.9,-0.92
