name,price,position,dob,nationality,height,foot,join_date,contract_expiration
Manuel Riemann,€1.20m,Goalkeeper,"Sep 9, 1988 (34)",Germany,"1,86m",right,"Jul 1, 2015","Jun 30, 2025"
Marko Johansson,€500k,Goalkeeper,"Aug 25, 1998 (24)",Sweden,"1,94m",right,"Sep 1, 2022","Jun 30, 2023"
Michael Esser,€400k,Goalkeeper,"Nov 22, 1987 (35)",Germany,"1,98m",right,"Jul 1, 2021","Jun 30, 2024"
Paul Grave,€100k,Goalkeeper,"Apr 10, 2001 (21)",Germany,"1,93m",right,"Mar 2, 2019",-
Erhan Masovic,€4.00m,Centre-Back,"Nov 22, 1998 (24)",Serbia,"1,89m",both,"Oct 5, 2020","Jun 30, 2025"
Ivan Ordets,€3.50m,Centre-Back,"Jul 8, 1992 (30)",Ukraine,"1,95m",right,"Jul 10, 2022","Jun 30, 2023"
Keven Schlotterbeck,€3.00m,Centre-Back,"Apr 28, 1997 (25)",Germany,"1,89m",left,"Jan 2, 2023","Jun 30, 2023"
Dominique Heintz,€2.50m,Centre-Back,"Aug 15, 1993 (29)",Germany,"1,88m",left,"Aug 11, 2022","Jun 30, 2023"
Vasilios Lampropoulos,€500k,Centre-Back,"Mar 31, 1990 (32)",Greece,"1,85m",right,"Aug 14, 2020","Jun 30, 2023"
Mohammed Tolba,€200k,Centre-Back,"Jul 19, 2004 (18)",Germany,"1,85m",right,"Jul 1, 2022","Jun 30, 2025"
Danilo Soares,€2.20m,Left-Back,"Oct 29, 1991 (31)",Brazil,"1,70m",left,"Jul 1, 2017","Jun 30, 2024"
Konstantinos Stafylidis,€1.80m,Left-Back,"Dec 2, 1993 (29)",Greece,"1,78m",left,"Jul 6, 2022","Jun 30, 2023"
Jordi Osei-Tutu,€1.50m,Right-Back,"Oct 2, 1998 (24)",England,"1,76m",right,"Jul 1, 2022","Jun 30, 2025"
Saidy Janko,€1.00m,Right-Back,"Oct 22, 1995 (27)",The Gambia,"1,81m",right,"Jul 1, 2022","Jun 30, 2023"
Cristian Gamboa,€700k,Right-Back,"Oct 24, 1989 (33)",Costa Rica,"1,75m",right,"Aug 27, 2019","Jun 30, 2024"
Jacek Goralski,€1.00m,Defensive Midfield,"Sep 21, 1992 (30)",Poland,"1,72m",right,"Jul 1, 2022","Jun 30, 2024"
Anthony Losilla,€500k,Defensive Midfield,"Mar 10, 1986 (37)",France,"1,85m",right,"Jul 1, 2014","Jun 30, 2024"
Pierre Kunde,€2.00m,Central Midfield,"Jul 26, 1995 (27)",Cameroon,"1,80m",right,"Jan 6, 2023","Jun 30, 2023"
Patrick Osterhage,€1.50m,Central Midfield,"Feb 1, 2000 (23)",Germany,"1,86m",left,"Jul 1, 2021","Jun 30, 2026"
Kevin Stöger,€2.50m,Attacking Midfield,"Aug 27, 1993 (29)",Austria,"1,75m",left,"Jul 1, 2022","Jun 30, 2024"
Philipp Förster,€2.00m,Attacking Midfield,"Feb 4, 1995 (28)",Germany,"1,88m",left,"Jul 1, 2022","Jun 30, 2024"
Gerrit Holtmann,€4.50m,Left Winger,"Mar 25, 1995 (27)",Philippines,"1,85m",left,"Aug 24, 2020","Jun 30, 2025"
Christopher Antwi-Adjei,€1.00m,Left Winger,"Feb 7, 1994 (29)",Ghana,"1,74m",right,"Jul 1, 2021","Jun 30, 2024"
Takuma Asano,€4.00m,Right Winger,"Nov 10, 1994 (28)",Japan,"1,73m",right,"Jul 1, 2021","Jun 30, 2024"
Philipp Hofmann,€2.50m,Centre-Forward,"Mar 30, 1993 (29)",Germany,"1,95m",left,"Jul 1, 2022","Jun 30, 2024"
Simon Zoller,€1.10m,Centre-Forward,"Jun 26, 1991 (31)",Germany,"1,79m",right,"Jan 1, 2019","Jun 30, 2024"
Silvère Ganvoula,€750k,Centre-Forward,"Jun 29, 1996 (26)",Congo,"1,91m",right,"Jul 5, 2019","Jun 30, 2023"
Moritz Broschinski,€175k,Centre-Forward,"Sep 23, 2000 (22)",Germany,"1,90m",right,"Jan 22, 2023","Jun 30, 2026"
Oliver Christensen,€4.50m,Goalkeeper,"Mar 22, 1999 (23)",Denmark,"1,90m",right,"Aug 26, 2021","Jun 30, 2026"
Tjark Ernst,€400k,Goalkeeper,"Mar 15, 2003 (20)",Germany,"1,93m",both,"Sep 1, 2022","Jun 30, 2026"
Rune Jarstein,€300k,Goalkeeper,"Sep 29, 1984 (38)",Norway,"1,92m",right,"Jan 1, 2014","Jun 30, 2023"
Agustín Rogel,€4.50m,Centre-Back,"Oct 17, 1997 (25)",Uruguay,"1,91m",right,"Aug 31, 2022","Jun 30, 2026"
Marc Oliver Kempf,€4.50m,Centre-Back,"Jan 28, 1995 (28)",Germany,"1,86m",left,"Jan 25, 2022","Jun 30, 2026"
Filip Uremovic,€4.00m,Centre-Back,"Feb 11, 1997 (26)",Croatia,"1,84m",right,"Jul 1, 2022","Jun 30, 2026"
Márton Dárdai,€4.00m,Centre-Back,"Feb 12, 2002 (21)",Germany,"1,88m",left,"Jul 1, 2020","Jun 30, 2025"
Maximilian Mittelstädt,€2.00m,Left-Back,"Mar 18, 1997 (26)",Germany,"1,80m",left,"Aug 19, 2015","Jun 30, 2027"
Marvin Plattenhardt,€2.00m,Left-Back,"Jan 26, 1992 (31)",Germany,"1,81m",left,"Jul 1, 2014","Jun 30, 2023"
Lukas Ullrich,€350k,Left-Back,"Mar 16, 2004 (19)",Germany,"1,80m",left,-,"Jun 30, 2023"
Jonjoe Kenny,€4.00m,Right-Back,"Mar 15, 1997 (26)",England,"1,76m",right,"Jul 1, 2022","Jun 30, 2025"
Peter Pekarik,€500k,Right-Back,"Oct 30, 1986 (36)",Slovakia,"1,77m",right,"Aug 31, 2012","Jun 30, 2023"
Julian Eitschberger,€250k,Right-Back,"Mar 5, 2004 (19)",Germany,"1,79m",right,"Jul 1, 2022","Jun 30, 2026"
Lucas Tousart,€11.00m,Defensive Midfield,"Apr 29, 1997 (25)",France,"1,85m",right,"Jan 27, 2020","Jun 30, 2025"
Ivan Sunjic,€5.00m,Defensive Midfield,"Oct 9, 1996 (26)",Croatia,"1,85m",right,"Jul 5, 2022","Jun 30, 2023"
Tolga Cigerci,€1.00m,Defensive Midfield,"Mar 23, 1992 (30)",Turkey,"1,85m",right,"Jan 31, 2023","Jun 30, 2024"
Suat Serdar,€8.00m,Central Midfield,"Apr 11, 1997 (25)",Germany,"1,84m",right,"Jul 1, 2021","Jun 30, 2026"
Jean-Paul Boëtius,€3.00m,Attacking Midfield,"Mar 22, 1994 (28)",Netherlands,"1,78m",right,"Aug 8, 2022","Jun 30, 2025"
Kevin-Prince Boateng,€700k,Attacking Midfield,"Mar 6, 1987 (36)",Ghana,"1,86m",right,"Jul 1, 2021","Jun 30, 2023"
Chidera Ejuke,€7.50m,Left Winger,"Jan 2, 1998 (25)",Nigeria,"1,76m",right,"Jul 13, 2022","Jun 30, 2023"
Dodi Lukébakio,€12.00m,Right Winger,"Sep 24, 1997 (25)",Belgium,"1,87m",left,"Aug 1, 2019","Jun 30, 2024"
Marco Richter,€6.00m,Right Winger,"Nov 24, 1997 (25)",Germany,"1,76m",right,"Aug 9, 2021","Jun 30, 2025"
Kelian Nsona,€1.20m,Right Winger,"May 11, 2002 (20)",France,"1,89m",right,"Jan 31, 2022","Jun 30, 2026"
Wilfried Kanga,€4.00m,Centre-Forward,"Feb 21, 1998 (25)",Cote d'Ivoire,"1,89m",right,"Jul 30, 2022","Jun 30, 2026"
Florian Niederlechner,€2.20m,Centre-Forward,"Oct 24, 1990 (32)",Germany,"1,87m",right,"Jan 18, 2023","Jun 30, 2025"
Stevan Jovetic,€2.00m,Centre-Forward,"Nov 2, 1989 (33)",Montenegro,"1,83m",right,"Jul 27, 2021","Jun 30, 2023"
Jessic Ngankam,€2.00m,Centre-Forward,"Jul 20, 2000 (22)",Germany,"1,84m",right,"Jul 2, 2022","Jun 30, 2025"
Derry Scherhant,€300k,Centre-Forward,"Nov 10, 2002 (20)",Germany,"1,85m",right,"Jul 1, 2022","Jun 30, 2025"
Manuel Neuer,€12.00m,Goalkeeper,"Mar 27, 1986 (36)",Germany,"1,93m",right,"Jul 1, 2011","Jun 30, 2024"
Yann Sommer,€5.00m,Goalkeeper,"Dec 17, 1988 (34)",Switzerland,"1,83m",right,"Jan 19, 2023","Jun 30, 2025"
Sven Ulreich,€900k,Goalkeeper,"Aug 3, 1988 (34)",Germany,"1,92m",right,"Jul 1, 2021","Jun 30, 2024"
Johannes Schenk,€300k,Goalkeeper,"Jan 13, 2003 (20)",Germany,"1,91m",,"Jul 1, 2022","Jun 30, 2024"
Matthijs de Ligt,€70.00m,Centre-Back,"Aug 12, 1999 (23)",Netherlands,"1,89m",right,"Jul 19, 2022","Jun 30, 2027"
Dayot Upamecano,€60.00m,Centre-Back,"Oct 27, 1998 (24)",France,"1,86m",right,"Jul 5, 2021","Jun 30, 2026"
Lucas Hernández,€50.00m,Centre-Back,"Feb 14, 1996 (27)",France,"1,84m",left,"Jul 1, 2019","Jun 30, 2024"
Alphonso Davies,€70.00m,Left-Back,"Nov 2, 2000 (22)",Canada,"1,85m",left,"Jan 1, 2019","Jun 30, 2025"
Daley Blind,€6.00m,Left-Back,"Mar 9, 1990 (33)",Netherlands,"1,80m",left,"Jan 5, 2023","Jun 30, 2023"
João Cancelo,€70.00m,Right-Back,"May 27, 1994 (28)",Portugal,"1,82m",right,"Jan 31, 2023","Jun 30, 2023"
Benjamin Pavard,€35.00m,Right-Back,"Mar 28, 1996 (26)",France,"1,86m",right,"Jul 1, 2019","Jun 30, 2024"
Noussair Mazraoui,€28.00m,Right-Back,"Nov 14, 1997 (25)",Morocco,"1,83m",right,"Jul 1, 2022","Jun 30, 2026"
Josip Stanisic,€8.00m,Right-Back,"Apr 2, 2000 (22)",Croatia,"1,87m",both,"Aug 1, 2021","Jun 30, 2026"
