Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Nick Olij,nl NED,GK,27-245,24.0,24,2,1,2,0,32.7,0.26,8.7,0.36,216,461,46.9,776,109,45.4,39.2,155,70.3,53.0,407,29,7.1,34,1.42,14.5,Matches
Youri Schoonderwaldt,nl NED,GK,23-021,2.0,3,0,0,0,0,1.8,0.26,-1.2,-0.58,12,20,60.0,39,5,38.5,32.6,7,71.4,46.4,20,1,5.0,5,2.5,17.6,Matches
Squad Total,,,27.2,26.0,27,2,1,2,0,34.6,0.26,7.6,0.29,228,481,47.4,815,114,45.0,38.8,162,70.4,52.7,427,30,7.0,39,1.5,14.8,
Opponent Total,,,25.8,26.0,41,3,0,8,1,35.9,0.29,-4.1,-0.16,178,420,42.4,760,145,40.8,35.7,177,62.1,46.5,392,29,7.4,25,0.96,13.8,
