Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Yassine Bounou,ma MAR,GK,32-001,24,24,2061,22.9,39,1.7,103,65,64.1,7,6,11,4,16.7,3,2,1,0,33.3,Matches
Marko Dmitrović,rs SRB,GK,31-072,5,3,369,4.1,3,0.73,20,17,85.0,1,1,1,1,33.3,0,0,0,0,,Matches
Squad Total,,,29.5,27,27,2430,27.0,42,1.56,123,82,67.5,8,7,12,5,18.5,3,2,1,0,33.3,
Opponent Total,,,28.1,27,27,2430,27.0,31,1.15,107,76,72.9,12,7,8,5,18.5,3,2,0,1,0.0,
