Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Mason Mount,eng ENG,"MF,FW",24-030,16.8,29,16,5,15,9,12,23,52.2,11,21,6,15,7,36,9,0,Matches
Thiago Silva,br BRA,DF,38-140,18.9,30,18,16,14,0,15,19,78.9,4,29,21,8,28,58,84,2,Matches
Kai Havertz,de GER,"FW,MF",23-243,16.7,24,10,3,14,7,6,17,35.3,11,17,0,17,6,30,27,0,Matches
Marc Cucurella,es ESP,DF,24-202,14.2,46,18,29,9,8,24,42,57.1,18,23,6,17,10,56,37,0,Matches
Jorginho,it ITA,MF,31-051,14.2,42,23,22,14,6,22,46,47.8,24,18,3,15,21,63,7,0,Matches
Raheem Sterling,eng ENG,"FW,MF",28-063,12.7,10,5,2,2,6,5,8,62.5,3,12,0,12,1,11,3,0,Matches
Kepa Arrizabalaga,es ESP,GK,28-129,12.5,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,8,0,Matches
Kalidou Koulibaly,sn SEN,DF,31-234,12.4,25,16,17,6,2,12,20,60.0,8,14,3,11,18,43,41,0,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-017,10.6,16,7,6,9,1,7,15,46.7,8,9,2,7,8,24,16,0,Matches
Trevoh Chalobah,eng ENG,DF,23-219,10.8,16,10,11,2,3,10,16,62.5,6,8,3,5,13,29,34,1,Matches
César Azpilicueta,es ESP,DF,33-165,11.4,26,15,15,8,3,15,19,78.9,4,19,4,15,14,40,41,0,Matches
Conor Gallagher,eng ENG,"MF,FW",23-003,9.2,28,19,11,10,7,8,21,38.1,13,15,3,12,11,39,13,0,Matches
Edouard Mendy,sn SEN,GK,30-345,8.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches
Reece James,eng ENG,"DF,MF",23-063,7.4,18,10,5,12,1,8,11,72.7,3,8,1,7,7,25,11,0,Matches
Mateo Kovačić,hr CRO,MF,28-279,9.3,18,12,7,9,2,8,12,66.7,4,5,1,4,12,30,9,0,Matches
Christian Pulisic,us USA,"FW,DF",24-144,6.8,11,6,3,6,2,3,5,60.0,2,4,0,4,2,13,4,0,Matches
Hakim Ziyech,ma MAR,"FW,MF",29-327,5.4,18,10,11,5,2,4,8,50.0,4,4,0,4,4,22,5,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-236,4.8,1,0,1,0,0,0,1,0.0,1,1,0,1,2,3,4,2,Matches
Ben Chilwell,eng ENG,"DF,MF",26-050,4.7,7,4,4,2,1,7,12,58.3,5,4,0,4,5,12,8,0,Matches
Lewis Hall,eng ENG,"DF,MF",18-154,3.4,11,3,10,1,0,8,12,66.7,4,4,0,4,10,21,5,1,Matches
Denis Zakaria,ch SUI,MF,26-081,3.2,4,3,2,1,1,1,4,25.0,3,2,0,2,2,6,8,0,Matches
Benoît Badiashile,fr FRA,DF,21-320,3.0,6,2,4,2,0,3,4,75.0,1,1,1,0,4,10,18,0,Matches
Armando Broja,al ALB,FW,21-152,3.3,4,1,0,3,1,1,1,100.0,0,10,1,9,1,5,1,0,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,3,1,0,2,1,1,2,50.0,1,2,0,2,5,8,3,0,Matches
N'Golo Kanté,fr FRA,MF,31-317,1.9,5,3,1,4,0,2,4,50.0,2,1,0,1,3,8,0,0,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",19-112,2.2,8,4,5,3,0,2,3,66.7,1,4,0,4,4,12,1,0,Matches
Enzo Fernández,ar ARG,MF,22-023,1.0,6,5,3,3,0,2,5,40.0,3,4,1,3,2,8,4,0,Matches
Mykhailo Mudryk,ua UKR,FW,22-035,0.9,4,4,1,1,2,1,3,33.3,2,1,1,0,0,4,1,0,Matches
João Félix,pt POR,FW,23-091,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Noni Madueke,eng ENG,FW,20-336,0.5,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0,Matches
Omari Hutchinson,eng ENG,FW,19-102,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Datro Fofana,ci CIV,"FW,MF",20-049,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.7,21.0,420,228,197,157,66,189,336,56.3,147,242,57,185,201,621,405,8,
Opponent Total,,,27.3,21.0,402,235,203,144,55,176,319,55.2,143,259,72,187,224,626,421,6,
