Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mason Mount,eng ENG,"MF,FW",24-030,20,19,1516.0,16.8,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,1.9,1.9,2.9,4.9,46.0,92.0,106.0,0.18,0.12,0.3,0.18,0.3,0.12,0.17,0.29,0.12,0.29,Matches
Thiago Silva,br BRA,DF,38-140,19,18,1704.0,18.9,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4,1.4,3.0,76.0,1.0,0.0,0.11,0.11,0.0,0.11,0.05,0.02,0.07,0.05,0.07,Matches
Kai Havertz,de GER,"FW,MF",23-243,20,18,1501.0,16.7,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,6.1,6.1,1.4,7.5,33.0,49.0,127.0,0.3,0.06,0.36,0.3,0.36,0.37,0.08,0.45,0.37,0.45,Matches
Marc Cucurella,es ESP,DF,24-202,19,16,1279.0,14.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,20.0,50.0,54.0,0.0,0.14,0.14,0.0,0.14,0.03,0.03,0.06,0.03,0.06,Matches
Jorginho,it ITA,MF,31-051,18,15,1279.0,14.2,2.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,1.7,0.1,0.4,0.5,13.0,80.0,10.0,0.14,0.0,0.14,0.0,0.0,0.12,0.03,0.14,0.01,0.03,Matches
Raheem Sterling,eng ENG,"FW,MF",28-063,16,14,1144.0,12.7,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,3.4,3.4,2.9,6.4,43.0,36.0,106.0,0.31,0.16,0.47,0.31,0.47,0.27,0.23,0.5,0.27,0.5,Matches
Kepa Arrizabalaga,es ESP,GK,28-129,13,13,1125.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kalidou Koulibaly,sn SEN,DF,31-234,14,12,1115.0,12.4,2.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.8,0.8,0.4,1.2,9.0,54.0,3.0,0.16,0.0,0.16,0.16,0.16,0.06,0.03,0.09,0.06,0.09,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-017,14,12,954.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.8,31.0,64.0,46.0,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.17,0.08,0.17,Matches
Trevoh Chalobah,eng ENG,DF,23-219,12,11,971.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,8.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,Matches
César Azpilicueta,es ESP,DF,33-165,18,10,1023.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,1.0,15.0,54.0,55.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,Matches
Conor Gallagher,eng ENG,"MF,FW",23-003,19,10,829.0,9.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.9,0.9,2.1,3.0,20.0,53.0,43.0,0.11,0.11,0.22,0.11,0.22,0.1,0.22,0.32,0.1,0.32,Matches
Edouard Mendy,sn SEN,GK,30-345,9,8,765.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Reece James,eng ENG,"DF,MF",23-063,9,8,670.0,7.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.6,2.4,29.0,43.0,67.0,0.13,0.13,0.27,0.13,0.27,0.11,0.21,0.32,0.11,0.32,Matches
Mateo Kovačić,hr CRO,MF,28-279,15,7,835.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.1,1.6,20.0,76.0,10.0,0.0,0.11,0.11,0.0,0.11,0.05,0.12,0.17,0.05,0.17,Matches
Christian Pulisic,us USA,"FW,DF",24-144,16,6,609.0,6.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.5,1.8,28.0,16.0,56.0,0.15,0.15,0.3,0.15,0.3,0.19,0.08,0.27,0.19,0.27,Matches
