Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Kepa Arrizabalaga,es ESP,GK,28-129,13,13,1125,12.5,9,0.72,52,45,82.7,5,5,3,7,53.8,0,0,0,0,,Matches
Edouard Mendy,sn SEN,GK,30-345,9,8,765,8.5,12,1.41,37,25,67.6,3,1,4,1,12.5,0,0,0,0,,Matches
Squad Total,,,27.7,21,21,1890,21.0,21,1.0,89,70,76.4,8,6,7,8,38.1,0,0,0,0,,
Opponent Total,,,27.3,21,21,1890,21.0,22,1.05,82,59,75.6,7,6,8,7,33.3,2,2,0,0,0.0,
