Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Mason Mount,eng ENG,"MF,FW",24-030,16.8,3,31,9,29.0,1.84,0.53,0.1,0.33,19.2,2,0,0,1.9,1.9,0.06,1.1,1.1,Matches
Thiago Silva,br BRA,DF,38-140,18.9,0,10,1,10.0,0.53,0.05,0.0,0.0,11.9,0,0,0,1.0,1.0,0.1,-1.0,-1.0,Matches
Kai Havertz,de GER,"FW,MF",23-243,16.7,5,40,17,42.5,2.4,1.02,0.13,0.29,11.8,0,0,0,6.1,6.1,0.15,-1.1,-1.1,Matches
Marc Cucurella,es ESP,DF,24-202,14.2,0,6,0,0.0,0.42,0.0,0.0,,17.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Jorginho,it ITA,MF,31-051,14.2,2,3,1,33.3,0.21,0.07,0.0,0.0,34.1,0,2,2,1.7,0.1,0.04,0.3,-0.1,Matches
Raheem Sterling,eng ENG,"FW,MF",28-063,12.7,4,21,10,47.6,1.65,0.79,0.19,0.4,12.7,0,0,0,3.4,3.4,0.16,0.6,0.6,Matches
Kepa Arrizabalaga,es ESP,GK,28-129,12.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Kalidou Koulibaly,sn SEN,DF,31-234,12.4,2,9,4,44.4,0.73,0.32,0.22,0.5,12.5,0,0,0,0.8,0.8,0.09,1.2,1.2,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-017,10.6,0,9,2,22.2,0.85,0.19,0.0,0.0,18.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Trevoh Chalobah,eng ENG,DF,23-219,10.8,0,5,1,20.0,0.46,0.09,0.0,0.0,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
César Azpilicueta,es ESP,DF,33-165,11.4,0,5,1,20.0,0.44,0.09,0.0,0.0,20.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Conor Gallagher,eng ENG,"MF,FW",23-003,9.2,1,12,5,41.7,1.3,0.54,0.08,0.2,19.7,0,0,0,0.9,0.9,0.08,0.1,0.1,Matches
Edouard Mendy,sn SEN,GK,30-345,8.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Reece James,eng ENG,"DF,MF",23-063,7.4,1,9,3,33.3,1.21,0.4,0.11,0.33,20.1,1,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Mateo Kovačić,hr CRO,MF,28-279,9.3,0,12,0,0.0,1.29,0.0,0.0,,25.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Christian Pulisic,us USA,"FW,DF",24-144,6.8,1,15,4,26.7,2.22,0.59,0.07,0.25,16.8,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
Hakim Ziyech,ma MAR,"FW,MF",29-327,5.4,0,11,2,18.2,2.03,0.37,0.0,0.0,20.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-236,4.8,1,10,5,50.0,2.08,1.04,0.1,0.2,15.3,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
