Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Mason Mount,eng ENG,"MF,FW",24-030,16.8,53,3.15,40,9,2,1,1,0,7,0.42,5,0,0,1,1,0,Matches
Thiago Silva,br BRA,DF,38-140,18.9,11,0.58,10,1,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
Kai Havertz,de GER,"FW,MF",23-243,16.7,33,1.98,28,1,1,2,1,0,3,0.18,2,0,0,1,0,0,Matches
Marc Cucurella,es ESP,DF,24-202,14.2,22,1.55,16,6,0,0,0,0,2,0.14,1,1,0,0,0,0,Matches
Jorginho,it ITA,MF,31-051,14.2,29,2.04,29,0,0,0,0,0,2,0.14,2,0,0,0,0,0,Matches
Raheem Sterling,eng ENG,"FW,MF",28-063,12.7,40,3.14,36,0,1,1,2,0,2,0.16,2,0,0,0,0,0,Matches
Kepa Arrizabalaga,es ESP,GK,28-129,12.5,1,0.08,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Kalidou Koulibaly,sn SEN,DF,31-234,12.4,16,1.29,13,0,0,1,0,2,2,0.16,2,0,0,0,0,0,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-017,10.6,22,2.08,17,0,3,1,1,0,2,0.19,2,0,0,0,0,0,Matches
Trevoh Chalobah,eng ENG,DF,23-219,10.8,5,0.46,3,0,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
César Azpilicueta,es ESP,DF,33-165,11.4,17,1.5,17,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Conor Gallagher,eng ENG,"MF,FW",23-003,9.2,27,2.93,19,4,1,2,0,1,3,0.33,2,0,1,0,0,0,Matches
Edouard Mendy,sn SEN,GK,30-345,8.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Reece James,eng ENG,"DF,MF",23-063,7.4,22,2.96,16,4,1,1,0,0,2,0.27,2,0,0,0,0,0,Matches
Mateo Kovačić,hr CRO,MF,28-279,9.3,28,3.02,24,1,0,3,0,0,2,0.22,2,0,0,0,0,0,Matches
Christian Pulisic,us USA,"FW,DF",24-144,6.8,20,2.96,18,0,0,2,0,0,3,0.44,3,0,0,0,0,0,Matches
Hakim Ziyech,ma MAR,"FW,MF",29-327,5.4,21,3.88,16,3,1,0,1,0,1,0.18,1,0,0,0,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-236,4.8,6,1.25,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Chilwell,eng ENG,"DF,MF",26-050,4.7,8,1.68,5,2,0,0,1,0,3,0.63,2,0,0,0,1,0,Matches
Lewis Hall,eng ENG,"DF,MF",18-154,3.4,12,3.55,7,2,0,1,2,0,0,0.0,0,0,0,0,0,0,Matches
Denis Zakaria,ch SUI,MF,26-081,3.2,2,0.63,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Benoît Badiashile,fr FRA,DF,21-320,3.0,7,2.33,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Armando Broja,al ALB,FW,21-152,3.3,4,1.22,2,0,0,0,2,0,2,0.61,1,0,0,0,1,0,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,1,0.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
N'Golo Kanté,fr FRA,MF,31-317,1.9,7,3.64,7,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",19-112,2.2,7,3.12,5,0,0,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Enzo Fernández,ar ARG,MF,22-023,1.0,2,2.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mykhailo Mudryk,ua UKR,FW,22-035,0.9,3,3.33,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Félix,pt POR,FW,23-091,0.6,3,4.74,1,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Noni Madueke,eng ENG,FW,20-336,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Omari Hutchinson,eng ENG,FW,19-102,0.3,1,3.91,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Datro Fofana,ci CIV,"FW,MF",20-049,0.2,2,11.25,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,21.0,433,20.62,350,33,14,19,13,4,41,1.95,34,1,1,2,3,0,
Opponent Total,,,27.3,21.0,411,19.57,308,30,22,26,15,10,29,1.38,16,3,1,6,1,2,
