Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Mason Mount,eng ENG,"MF,FW",24-030,16.8,730,658,68,17,5,8,63,5,34,11,19,1,550,4,20,Matches
Thiago Silva,br BRA,DF,38-140,18.9,1520,1463,50,45,0,13,1,2,0,0,0,0,1368,7,7,Matches
Kai Havertz,de GER,"FW,MF",23-243,16.7,491,470,20,2,0,2,5,5,0,0,0,0,393,1,14,Matches
Marc Cucurella,es ESP,DF,24-202,14.2,1009,851,152,19,0,1,39,120,13,8,3,0,841,6,22,Matches
Jorginho,it ITA,MF,31-051,14.2,884,853,28,27,2,3,2,1,0,0,0,0,750,3,11,Matches
Raheem Sterling,eng ENG,"FW,MF",28-063,12.7,396,381,14,0,4,0,27,2,7,7,0,0,296,1,14,Matches
Kepa Arrizabalaga,es ESP,GK,28-129,12.5,474,357,117,28,0,1,0,0,0,0,0,0,402,0,0,Matches
Kalidou Koulibaly,sn SEN,DF,31-234,12.4,958,917,40,28,0,13,3,12,0,0,0,0,820,1,8,Matches
Ruben Loftus-Cheek,eng ENG,"MF,DF",27-017,10.6,546,518,24,7,1,5,10,17,0,0,0,0,461,4,12,Matches
Trevoh Chalobah,eng ENG,DF,23-219,10.8,640,610,29,12,0,4,2,17,0,0,0,0,568,1,7,Matches
César Azpilicueta,es ESP,DF,33-165,11.4,772,642,127,24,0,0,17,103,0,0,0,0,622,3,11,Matches
Conor Gallagher,eng ENG,"MF,FW",23-003,9.2,484,445,37,7,1,3,37,6,20,9,6,0,382,2,17,Matches
Edouard Mendy,sn SEN,GK,30-345,8.5,268,206,62,6,0,1,0,0,0,0,0,0,213,0,0,Matches
Reece James,eng ENG,"DF,MF",23-063,7.4,555,466,88,15,0,3,43,60,13,9,1,0,472,1,9,Matches
Mateo Kovačić,hr CRO,MF,28-279,9.3,641,628,13,11,6,7,2,2,0,0,0,0,537,0,11,Matches
Christian Pulisic,us USA,"FW,DF",24-144,6.8,229,225,2,0,0,0,7,2,0,0,0,0,185,2,6,Matches
Hakim Ziyech,ma MAR,"FW,MF",29-327,5.4,286,253,29,8,4,3,51,4,16,10,3,1,178,4,9,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-236,4.8,86,82,4,0,0,0,3,0,0,0,0,0,61,0,4,Matches
Ben Chilwell,eng ENG,"DF,MF",26-050,4.7,319,255,62,6,1,2,17,47,9,5,0,0,248,2,6,Matches
Lewis Hall,eng ENG,"DF,MF",18-154,3.4,195,175,20,3,0,3,9,15,2,2,0,0,147,0,6,Matches
Denis Zakaria,ch SUI,MF,26-081,3.2,138,136,2,2,1,1,0,0,0,0,0,0,124,0,2,Matches
Benoît Badiashile,fr FRA,DF,21-320,3.0,275,269,6,6,0,2,0,0,0,0,0,0,251,0,0,Matches
Armando Broja,al ALB,FW,21-152,3.3,53,51,2,0,0,1,0,0,0,0,0,0,33,0,0,Matches
Wesley Fofana,fr FRA,DF,22-054,2.0,190,188,2,2,0,0,0,0,0,0,0,0,172,0,0,Matches
N'Golo Kanté,fr FRA,MF,31-317,1.9,129,128,0,0,0,0,3,0,0,0,0,0,107,1,4,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",19-112,2.2,93,92,1,0,0,0,3,0,0,0,0,0,76,0,4,Matches
Enzo Fernández,ar ARG,MF,22-023,1.0,75,73,2,2,0,0,0,0,0,0,0,0,64,0,1,Matches
Mykhailo Mudryk,ua UKR,FW,22-035,0.9,31,31,0,0,1,0,1,0,0,0,0,0,24,0,0,Matches
João Félix,pt POR,FW,23-091,0.6,24,23,0,0,0,0,1,0,0,0,0,0,16,1,3,Matches
Noni Madueke,eng ENG,FW,20-336,0.5,30,29,1,0,0,0,3,0,1,1,0,0,21,0,0,Matches
Omari Hutchinson,eng ENG,FW,19-102,0.3,12,12,0,0,0,0,2,0,0,0,0,0,8,0,1,Matches
Datro Fofana,ci CIV,"FW,MF",20-049,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.7,21.0,12535,11489,1002,277,26,76,351,420,115,62,32,2,10391,44,209,
Opponent Total,,,27.3,21.0,8999,7964,1007,262,16,49,383,440,105,64,16,1,6874,28,214,
