Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Trevoh Chalobah,eng ENG,DF,23-219,12,971.0,81.0,51.4,10.8,11,88.0,9,1,3.0,8,1.5,11.0,10.0,1.0,0.09,0.09,13.5,16.0,-2.5,-0.23,-0.3,Matches
César Azpilicueta,es ESP,DF,33-165,18,1023.0,57.0,54.1,11.4,10,83.0,8,8,24.0,3,1.33,12.0,10.0,2.0,0.18,0.28,13.8,15.5,-1.7,-0.15,-0.14,Matches
Conor Gallagher,eng ENG,"MF,FW",23-003,19,829.0,44.0,43.9,9.2,10,69.0,4,9,16.0,1,1.53,6.0,7.0,-1.0,-0.11,-0.28,10.3,10.1,0.2,0.02,0.2,Matches
Edouard Mendy,sn SEN,GK,30-345,9,765.0,85.0,40.5,8.5,8,90.0,8,1,45.0,4,1.11,9.0,12.0,-3.0,-0.35,-0.67,9.1,12.2,-3.1,-0.36,-0.46,Matches
Reece James,eng ENG,"DF,MF",23-063,9,670.0,74.0,35.4,7.4,8,81.0,6,1,19.0,0,2.22,12.0,8.0,4.0,0.54,0.76,9.7,8.2,1.5,0.2,0.45,Matches
Mateo Kovačić,hr CRO,MF,28-279,15,835.0,56.0,44.2,9.3,7,82.0,4,8,33.0,1,1.4,7.0,12.0,-5.0,-0.54,-1.05,9.0,13.5,-4.5,-0.49,-0.71,Matches
Christian Pulisic,us USA,"FW,DF",24-144,16,609.0,38.0,32.2,6.8,6,66.0,0,10,21.0,1,1.38,8.0,8.0,0.0,0.0,-0.07,8.3,8.4,-0.1,-0.01,0.11,Matches
Hakim Ziyech,ma MAR,"FW,MF",29-327,11,487.0,44.0,25.8,5.4,5,79.0,2,6,15.0,8,0.82,3.0,5.0,-2.0,-0.37,-0.56,5.9,6.1,-0.1,-0.02,0.09,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,33-236,11,433.0,39.0,22.9,4.8,4,67.0,0,7,24.0,3,1.45,3.0,4.0,-1.0,-0.21,-0.33,4.4,7.2,-2.8,-0.57,-0.63,Matches
Ben Chilwell,eng ENG,"DF,MF",26-050,10,426.0,43.0,22.5,4.7,4,84.0,3,6,15.0,2,1.7,8.0,3.0,5.0,1.06,1.3,5.5,4.7,0.8,0.17,0.33,Matches
Lewis Hall,eng ENG,"DF,MF",18-154,5,304.0,61.0,16.1,3.4,4,70.0,0,1,23.0,3,0.8,2.0,3.0,-1.0,-0.3,-0.41,4.2,3.9,0.3,0.1,0.22,Matches
Denis Zakaria,ch SUI,MF,26-081,4,286.0,72.0,15.1,3.2,4,72.0,1,0,,6,1.0,4.0,2.0,2.0,0.63,0.69,4.6,3.8,0.9,0.27,0.43,Matches
Benoît Badiashile,fr FRA,DF,21-320,3,270.0,90.0,14.3,3.0,3,90.0,3,0,,1,1.67,1.0,0.0,1.0,0.33,0.33,4.4,2.7,1.7,0.57,0.77,Matches
Armando Broja,al ALB,FW,21-152,12,294.0,25.0,15.6,3.3,2,67.0,0,10,16.0,1,1.5,5.0,5.0,0.0,0.0,-0.06,2.8,4.4,-1.6,-0.49,-0.47,Matches
Wesley Fofana,fr FRA,DF,22-054,2,180.0,90.0,9.5,2.0,2,90.0,2,0,,0,3.0,4.0,2.0,2.0,1.0,1.05,2.0,1.5,0.4,0.22,0.34,Matches
N'Golo Kanté,fr FRA,MF,31-317,2,174.0,87.0,9.2,1.9,2,87.0,1,0,,0,2.0,3.0,1.0,2.0,1.03,1.09,3.0,1.3,1.8,0.91,1.1,Matches
Carney Chukwuemeka,eng ENG,"MF,FW",19-112,8,202.0,25.0,10.7,2.2,1,62.0,0,7,20.0,5,1.25,2.0,2.0,0.0,0.0,-0.05,2.6,3.2,-0.6,-0.27,-0.2,Matches
Enzo Fernández,ar ARG,MF,22-023,1,90.0,90.0,4.8,1.0,1,90.0,1,0,,0,1.0,0.0,0.0,0.0,0.0,-0.05,1.3,0.6,0.7,0.69,0.82,Matches
Mykhailo Mudryk,ua UKR,FW,22-035,2,81.0,41.0,4.3,0.9,1,45.0,0,1,36.0,0,1.0,0.0,0.0,0.0,0.0,-0.05,1.4,0.7,0.7,0.75,0.87,Matches
João Félix,pt POR,FW,23-091,1,57.0,57.0,3.0,0.6,1,57.0,0,0,,0,0.0,1.0,1.0,0.0,0.0,-0.05,1.9,0.5,1.5,2.3,2.47,Matches
Noni Madueke,eng ENG,FW,20-336,1,45.0,45.0,2.4,0.5,0,,0,1,45.0,0,1.0,0.0,0.0,0.0,0.0,-0.05,0.5,0.5,0.1,0.13,0.23,Matches
Omari Hutchinson,eng ENG,FW,19-102,1,23.0,23.0,1.2,0.3,0,,0,1,23.0,4,0.0,0.0,0.0,0.0,0.0,-0.05,0.1,0.6,-0.5,-1.98,-1.91,Matches
Datro Fofana,ci CIV,"FW,MF",20-049,1,16.0,16.0,0.8,0.2,0,,0,1,16.0,3,1.0,0.0,0.0,0.0,0.0,-0.05,0.4,0.1,0.3,1.69,1.8,Matches
Ethan Ampadu,wls WAL,"DF,MF",22-148,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Marcus Bettinelli,eng ENG,GK,30-261,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Billy Gilmour,sct SCO,MF,21-243,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",22-094,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Bashir Humphreys,eng ENG,DF,19-331,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Harvey Vale,eng ENG,MF,19-151,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.7,21,1890.0,90.0,100.0,21.0,231,80.0,134,95,22.0,94,1.43,22.0,21.0,1.0,0.05,,25.2,27.0,-1.9,-0.09,,
Opponent Total,,,27.3,21,1890.0,90.0,100.0,21.0,231,80.0,134,95,22.0,107,1.29,21.0,22.0,-1.0,-0.05,,27.0,25.2,1.9,0.09,,
