Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Łukasz Skorupski,pl POL,GK,31-336,27.0,913,641,269,71,0,3,0,0,0,0,0,0,707,3,0,Matches
Jhon Lucumí,co COL,DF,24-284,23.2,1322,1257,62,49,1,19,1,1,0,0,0,0,1158,3,13,Matches
Stefan Posch,at AUT,DF,25-327,19.9,1280,1082,194,18,4,11,40,176,0,0,0,0,974,4,36,Matches
Jerdy Schouten,nl NED,MF,26-084,19.2,936,930,5,5,4,9,2,0,0,0,0,0,802,1,10,Matches
Andrea Cambiaso,it ITA,DF,23-045,18.0,1084,895,187,17,0,5,46,169,1,1,0,0,878,2,31,Matches
Lewis Ferguson,sct SCO,MF,23-225,17.7,749,730,17,6,3,0,9,9,0,0,0,0,624,2,12,Matches
Nicolás Domínguez,ar ARG,MF,24-282,17.9,921,868,46,26,14,12,12,16,0,0,0,0,739,7,18,Matches
Adama Soumaoro,fr FRA,DF,30-292,16.7,843,799,38,37,0,1,0,1,0,0,0,0,782,6,4,Matches
Riccardo Orsolini,it ITA,FW,26-072,17.4,646,572,73,21,0,26,78,4,46,27,11,0,410,1,31,Matches
Gary Medel,cl CHI,"MF,DF",35-246,14.9,992,947,45,42,1,8,4,2,0,0,0,0,880,0,7,Matches
Musa Barrow,gm GAM,"FW,MF",24-143,14.0,499,427,66,14,1,13,72,7,36,18,16,0,347,6,13,Matches
Roberto Soriano,it ITA,"FW,MF",32-057,14.2,578,569,9,4,5,3,11,5,0,0,0,0,465,0,14,Matches
Marko Arnautović,at AUT,FW,33-352,13.7,376,338,32,0,2,0,9,3,0,0,0,0,265,6,12,Matches
Michel Aebischer,ch SUI,"FW,MF",26-090,11.9,466,442,21,8,0,3,19,8,4,1,3,0,377,3,12,Matches
Charalambos Lykogiannis,gr GRE,DF,29-166,11.7,681,558,120,10,1,9,63,99,11,6,3,0,480,3,26,Matches
Nikola Moro,hr CRO,MF,25-025,8.5,465,451,11,6,3,8,12,5,0,0,0,0,357,3,7,Matches
Joaquin Sosa,uy URU,DF,21-086,6.6,299,284,15,15,0,5,1,0,0,0,0,0,238,0,4,Matches
Nicola Sansone,it ITA,FW,31-208,5.8,137,124,11,0,0,2,11,0,5,4,0,0,99,2,5,Matches
Lorenzo De Silvestri,it ITA,DF,34-318,6.0,283,220,63,5,1,1,6,58,0,0,0,0,206,0,3,Matches
Joshua Zirkzee,nl NED,FW,21-319,5.9,157,146,11,0,2,0,0,0,0,0,0,0,119,0,7,Matches
Kevin Bonifazi,it ITA,DF,26-322,4.6,251,242,9,9,0,3,1,0,0,0,0,0,215,0,1,Matches
Giorgos Kyriakopoulos,gr GRE,"FW,DF",27-060,4.1,195,166,29,9,0,0,25,14,6,6,0,0,148,0,5,Matches
Denso Kasius,nl NED,DF,20-182,3.8,192,156,35,1,0,3,12,34,0,0,0,0,143,1,3,Matches
Emanuel Vignato,it ITA,"MF,FW",22-225,2.7,99,97,2,0,0,2,2,1,1,1,0,0,79,0,2,Matches
Francesco Bardi,it ITA,GK,31-078,1.0,23,12,10,1,0,0,0,0,0,0,0,0,18,1,0,Matches
Niklas Pyyhtiä,fi FIN,MF,19-193,0.7,30,30,0,0,0,0,0,0,0,0,0,0,23,0,1,Matches
Antonio Raimondo,it ITA,FW,19-019,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,27.5,28.0,14421,12987,1380,374,42,146,436,612,110,64,33,0,11536,54,277,
Opponent Total,,,27.4,28.0,12811,11330,1432,391,25,85,481,616,125,45,64,0,9938,49,251,
