Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Maxime Dupé,fr FRA,GK,30-033,29.0,51,3,2,8,2,45.2,0.28,-3.8,-0.13,110,281,39.1,797,139,24.2,29.6,200,44.0,37.1,397,25,6.3,19,0.66,10.9,Matches
Squad Total,,,25.9,29.0,51,3,2,8,2,45.2,0.28,-3.8,-0.13,110,281,39.1,797,139,24.2,29.6,200,44.0,37.1,397,25,6.3,19,0.66,10.9,
Opponent Total,,,27.1,29.0,44,4,1,7,1,37.2,0.27,-5.8,-0.2,121,362,33.4,703,124,35.8,33.6,191,57.6,42.6,394,33,8.4,17,0.59,11.0,
