Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Maxime Dupé,fr FRA,GK,30-033,29.0,1,0,0,1,4,0,0,0,0,0,1,0,23,4,0,100.0,Matches
Anthony Rouault,fr FRA,DF,21-312,28.8,4,1,1,18,12,1,0,46,32,0,0,1,165,72,55,56.7,Matches
Stijn Spierings,nl NED,MF,27-025,28.8,3,0,0,45,37,0,17,42,53,1,1,0,288,19,17,52.8,Matches
Rasmus Nicolaisen,dk DEN,DF,26-021,27.3,6,1,1,23,21,1,0,42,19,0,1,1,148,88,33,72.7,Matches
Branco van den Boomen,nl NED,MF,27-259,27.1,5,0,0,25,13,2,222,10,28,0,0,0,153,6,12,33.3,Matches
Zakaria Aboukhlal,ma MAR,"FW,MF",23-047,22.8,4,0,0,35,40,17,24,19,19,0,0,0,107,8,27,22.9,Matches
Thijs Dallinga,nl NED,FW,22-246,19.1,4,0,0,27,14,20,15,2,6,0,0,0,34,42,46,47.7,Matches
Brecht Dejaegere,be BEL,MF,31-312,17.9,5,0,0,36,35,1,13,13,21,0,1,0,80,8,16,33.3,Matches
Rafael Ratão,br BRA,FW,27-127,16.4,2,0,0,25,28,1,35,19,32,0,0,0,97,8,12,40.0,Matches
Mikkel Desler,dk DEN,DF,28-046,19.4,5,1,1,24,27,3,30,33,31,0,0,0,124,15,8,65.2,Matches
Fares Chaïbi,dz ALG,"FW,MF",20-129,19.4,2,0,0,29,16,6,42,16,11,0,0,0,80,25,38,39.7,Matches
Issiaga Sylla,gn GUI,DF,29-095,15.2,3,0,0,24,18,1,41,38,15,0,0,0,120,12,16,42.9,Matches
Moussa Diarra,ml MLI,DF,22-147,11.6,0,0,0,16,13,0,13,17,9,0,1,0,59,15,11,57.7,Matches
Gabriel Suazo,cl CHI,DF,25-240,7.8,0,0,0,5,5,1,7,12,13,0,0,0,61,3,2,60.0,Matches
Ado Onaiwu,jp JPN,FW,27-149,8.2,0,0,0,12,12,2,2,0,3,0,0,0,21,25,31,44.6,Matches
Kévin Keben Biakolo,cm CMR,DF,19-070,3.4,1,0,0,2,5,0,5,4,2,0,0,0,22,2,6,25.0,Matches
Waren Kamanzi,no NOR,DF,22-146,2.0,0,0,0,1,1,0,1,4,1,0,0,0,19,0,0,,Matches
Veljko Birmančević,rs SRB,"FW,MF",25-032,3.8,0,0,0,4,6,0,3,6,7,1,0,0,19,3,7,30.0,Matches
Oliver Zandén,se SWE,"DF,MF",21-235,1.6,0,0,0,3,6,0,6,1,1,0,0,0,8,1,2,33.3,Matches
Vincent Sierro,ch SUI,"MF,FW",27-180,1.5,1,0,0,2,2,0,1,1,1,0,0,0,7,2,4,33.3,Matches
Christian Mawissa,fr FRA,DF,17-353,1.1,1,0,0,2,2,0,1,3,0,0,1,0,3,1,1,50.0,Matches
Nathan N'Goumou,fr FRA,FW,23-023,1.0,0,0,0,0,0,0,1,2,2,0,0,0,6,1,0,100.0,Matches
Yanis Begraoui,fr FRA,"FW,MF",21-276,0.7,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,,Matches
Denis Genreau,au AUS,MF,23-320,1.9,2,0,0,3,0,1,2,3,6,0,0,0,18,3,7,30.0,Matches
Saïd Hamulic,nl NED,FW,22-145,0.9,1,0,0,2,0,1,1,0,0,0,0,0,2,0,1,0.0,Matches
Rhys Healey,wls WAL,FW,28-121,0.7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,Matches
Logan Costa,cv CPV,"DF,MF",22-005,0.6,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches
Naatan Skyttä,fi FIN,MF,20-334,0.3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0.0,Matches
Theocharis Tsingaras,gr GRE,MF,22-229,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.9,29.0,50,3,3,364,318,59,482,336,312,2,6,2,1674,365,354,50.8,
Opponent Total,,,27.1,29.0,45,2,0,338,342,30,490,316,259,5,4,1,1630,354,365,49.2,
