Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Maxime Dupé,fr FRA,GK,30-030,28,28,2520,28.0,48,1.71,138,89,67.4,10,5,13,5,17.9,6,3,3,0,50.0,Matches
Squad Total,,,25.9,28,28,2520,28.0,48,1.71,138,89,67.4,10,5,13,5,17.9,6,3,3,0,50.0,
Opponent Total,,,27.1,28,28,2520,28.0,43,1.54,128,86,69.5,13,5,10,7,25.0,4,4,0,0,0.0,
