Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
3,Lazio,13,7,3,3,22,12,10,24,1.85,17.0,15.4,1.6,0.13,13,7,4,2,19,7,12,25,1.92,17.1,13.3,3.9,0.3
4,Milan,13,9,2,2,28,17,11,29,2.23,21.9,13.4,8.5,0.66,14,5,4,5,16,19,-3,19,1.36,19.6,17.0,2.6,0.18
5,Roma,13,8,1,4,17,9,8,25,1.92,19.3,11.8,7.5,0.57,13,6,4,3,18,16,2,22,1.69,21.0,9.6,11.3,0.87
6,Atalanta,13,6,3,4,24,16,8,21,1.62,23.1,11.3,11.7,0.9,14,7,3,4,20,15,5,24,1.71,18.9,16.7,2.2,0.16
7,Juventus,14,10,3,1,33,12,21,33,2.36,24.4,12.1,12.3,0.88,12,6,2,4,11,10,1,20,1.67,14.1,15.5,-1.4,-0.12
