Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
6,Brighton,20,10,4,6,38,27,11,34,1.7,31.3,25.1,6.2,0.31,L W W D W,31487,Leandro Trossard - 7,Robert Sánchez,
7,Brentford,21,8,9,4,35,28,7,33,1.57,29.5,26.3,3.2,0.15,W W W D W,17076,Ivan Toney - 13,David Raya,
8,Fulham,22,9,5,8,32,30,2,32,1.45,29.1,36.8,-7.7,-0.35,W W L L D,23270,Aleksandar Mitrović - 11,Bernd Leno,
9,Chelsea,21,8,6,7,22,21,1,30,1.43,25.2,27.0,-1.9,-0.09,L L W D D,39957,Kai Havertz - 5,Kepa Arrizabalaga,
10,Liverpool,20,8,5,7,34,28,6,29,1.45,35.4,29.2,6.2,0.31,W L L D L,53228,"Mohamed Salah, Roberto Firmino - 7",Alisson,
