,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
,Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
12,Neeskens Kebano,cd COD,FW,30-335,7.9,139,188,73.9,1850,476,83,94,88.3,40,53,75.5,4,9,44.4,3,1.4,0.8,1.6,11,2,9,3,21,Matches
13,Carlos Vinícius,br BRA,FW,27-320,4.8,42,75,56.0,486,129,28,38,73.7,8,17,47.1,2,4,50.0,0,0.5,0.3,-0.5,4,1,2,0,4,Matches
14,Daniel James,wls WAL,FW,25-090,4.0,76,117,65.0,1026,214,53,62,85.5,19,33,57.6,2,8,25.0,0,0.3,0.2,-0.3,4,2,6,1,12,Matches
15,Harry Wilson,wls WAL,FW,25-323,3.9,118,155,76.1,1778,298,66,75,88.0,42,52,80.8,7,16,43.8,0,0.1,0.2,-0.1,2,7,3,0,13,Matches
16,Marek Rodák,sk SVK,GK,26-057,2.0,29,61,47.5,1170,1037,3,3,100.0,8,9,88.9,17,48,35.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
17,Layvin Kurzawa,fr FRA,DF,30-157,1.5,28,41,68.3,408,135,12,13,92.3,14,19,73.7,0,3,0.0,0,0.0,0.0,0.0,0,1,1,1,2,Matches
18,Tom Cairney,sct SCO,MF,32-019,5.2,342,400,85.5,5634,1341,175,191,91.6,119,139,85.6,35,48,72.9,0,1.2,1.2,-1.2,10,37,11,4,50,Matches
19,Kevin Mbabu,ch SUI,"DF,FW",27-295,1.6,68,94,72.3,1051,383,40,43,93.0,24,35,68.6,4,9,44.4,1,0.4,0.4,0.6,2,4,5,3,8,Matches
20,Jay Stansfield,eng ENG,FW,20-076,1.0,9,23,39.1,82,32,7,8,87.5,1,7,14.3,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
21,Nathaniel Chalobah,eng ENG,MF,28-058,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
22,Manor Solomon,il ISR,FW,23-199,0.7,12,16,75.0,163,93,6,8,75.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,1,1,1,0,3,Matches
23,Josh Onomah,eng ENG,MF,25-287,0.2,4,6,66.7,54,0,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
24,Luke Harris,wls WAL,"MF,FW",17-311,0.1,13,14,92.9,172,25,9,9,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
25,Shane Duffy,ie IRL,"FW,DF",31-038,0.1,2,4,50.0,20,9,2,2,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
26,Tyrese Francois,au AUS,FW,22-207,0.0,2,2,100.0,12,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
27,Squad Total,,,28.9,22.0,7656,10040,76.3,141010,50280,3221,3789,85.0,3373,4034,83.6,881,1636,53.9,18,17.3,13.2,0.7,182,561,163,58,731,
28,Opponent Total,,,27.3,22.0,9104,11471,79.4,159644,56482,4220,4852,87.0,3760,4323,87.0,893,1633,54.7,18,26.8,20.6,-8.8,213,666,202,49,838,
