Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Kieran Trippier,eng ENG,DF,32-180,25.4,125,4.92,56,65,0,1,2,1,8,0.31,6,2,0,0,0,0,Matches
Nick Pope,eng ENG,GK,30-333,25.2,2,0.08,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Dan Burn,eng ENG,DF,30-313,24.6,25,1.02,23,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Fabian Schär,ch SUI,DF,31-088,23.8,39,1.64,26,0,2,7,2,2,3,0.13,1,0,0,0,1,1,Matches
Miguel Almirón,py PAR,FW,29-036,22.0,66,3.0,48,2,7,6,3,0,10,0.46,4,1,4,1,0,0,Matches
Sven Botman,nl NED,DF,23-065,22.7,17,0.75,13,1,0,3,0,0,1,0.04,0,0,0,1,0,0,Matches
Sean Longstaff,eng ENG,MF,25-139,22.4,49,2.19,35,1,2,6,5,0,4,0.18,3,0,0,1,0,0,Matches
Joe Willock,eng ENG,MF,23-210,20.1,56,2.79,45,0,4,4,2,1,5,0.25,4,0,0,1,0,0,Matches
Joelinton,br BRA,"MF,FW",26-216,20.6,56,2.72,39,1,5,4,7,0,5,0.24,3,1,0,0,1,0,Matches
Bruno Guimarães,br BRA,MF,25-122,18.5,55,2.97,42,1,1,1,8,2,7,0.38,6,0,0,0,0,1,Matches
Callum Wilson,eng ENG,FW,31-019,13.8,24,1.74,14,0,2,4,4,0,5,0.36,3,0,0,2,0,0,Matches
Allan Saint-Maximin,fr FRA,FW,26-006,9.6,44,4.57,31,0,8,3,2,0,6,0.62,4,0,1,0,1,0,Matches
Jacob Murphy,eng ENG,FW,28-022,8.5,30,3.52,26,0,1,0,3,0,3,0.35,3,0,0,0,0,0,Matches
Alexander Isak,se SWE,FW,23-178,6.9,13,1.88,9,0,0,3,0,1,1,0.14,0,0,0,1,0,0,Matches
Chris Wood,nz NZL,FW,31-101,5.0,5,1.01,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Matt Targett,eng ENG,DF,27-181,4.8,13,2.72,10,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ryan Fraser,sct SCO,FW,29-022,3.5,8,2.3,6,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamaal Lascelles,eng ENG,DF,29-127,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Elliot Anderson,sct SCO,"FW,MF",20-132,2.1,11,5.24,6,0,1,0,4,0,0,0.0,0,0,0,0,0,0,Matches
Anthony Gordon,eng ENG,"FW,MF",22-022,1.8,6,3.27,3,0,0,1,1,1,0,0.0,0,0,0,0,0,0,Matches
Martin Dúbravka,sk SVK,GK,34-062,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matt Ritchie,sct SCO,"FW,MF",33-189,0.4,1,2.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jonjo Shelvey,eng ENG,MF,31-019,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Javier Manquillo,es ESP,DF,28-317,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamal Lewis,nir NIR,DF,25-052,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Emil Krafth,se SWE,DF,28-228,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.1,26.0,645,24.81,438,76,33,47,43,8,59,2.27,38,4,5,7,3,2,
Opponent Total,,,27.6,26.0,470,18.08,346,32,32,30,21,9,33,1.27,25,2,3,3,0,0,
