Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Nick Pope,eng ENG,GK,30-334,26,26,2271,25.2,19,0.75,79,60,77.2,12,11,3,12,46.2,2,1,0,1,0.0,Matches
Martin Dúbravka,sk SVK,GK,34-063,1,0,67,0.7,0,0.0,5,5,100.0,0,0,0,0,,0,0,0,0,,Matches
Squad Total,,,28.1,26,26,2338,26.0,19,0.73,84,65,78.6,12,11,3,12,46.2,2,1,0,1,0.0,
Opponent Total,,,27.6,26,26,2340,26.0,39,1.5,126,88,72.2,3,11,12,8,30.8,4,4,0,0,0.0,
