Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Mark Flekken,nl NED,GK,29-297,26.0,1086,849,233,64,0,11,0,0,0,0,0,0,776,4,2,Matches
Matthias Ginter,de GER,DF,29-077,26.0,1507,1450,50,43,1,10,5,4,0,0,0,0,1241,7,8,Matches
Christian Günter,de GER,"DF,MF",30-037,24.6,1165,875,288,39,1,16,164,190,58,34,20,0,837,2,27,Matches
Nicolas Höfler,de GER,MF,33-028,24.4,1113,1032,79,42,1,4,0,1,0,0,0,0,931,2,18,Matches
Ritsu Doan,jp JPN,"FW,MF",24-294,20.7,486,483,1,0,3,5,21,1,0,0,0,0,346,2,27,Matches
Michael Gregoritsch,at AUT,FW,28-353,19.8,449,438,7,1,1,2,11,5,0,0,0,0,251,4,12,Matches
Philipp Lienhart,at AUT,DF,26-269,22.3,1359,1286,70,41,3,15,1,4,0,0,0,0,1158,3,8,Matches
Vincenzo Grifo,it ITA,"FW,MF",29-364,19.7,1038,908,123,56,5,11,95,14,45,30,8,0,769,7,17,Matches
Maximilian Eggestein,de GER,MF,26-119,21.3,694,685,6,6,2,1,10,0,0,0,0,0,531,3,26,Matches
Kiliann Sildillia,fr FRA,"DF,MF",20-325,20.3,1022,823,198,18,1,3,25,180,0,0,0,0,724,1,25,Matches
Lukas Kübler,de GER,DF,30-219,13.2,604,523,78,5,1,2,27,73,0,0,0,0,415,3,15,Matches
Lucas Höler,de GER,"FW,MF",28-270,9.1,274,267,7,2,0,0,7,0,0,0,0,0,173,0,11,Matches
Roland Sallai,hu HUN,"MF,FW",25-319,7.0,202,197,2,2,2,2,16,0,0,0,0,0,150,3,4,Matches
Daniel Kyereh,gh GHA,"MF,FW",27-029,6.2,182,176,5,1,0,0,3,0,2,0,1,0,139,1,7,Matches
Yannik Keitel,de GER,MF,23-050,5.0,187,178,9,7,0,2,3,0,0,0,0,0,151,0,3,Matches
Manuel Gulde,de GER,DF,32-053,4.6,268,256,12,11,0,0,2,0,0,0,0,0,216,0,2,Matches
Jeong Woo-yeong,kr KOR,"MF,FW",23-198,6.8,222,219,3,1,0,2,9,0,0,0,0,0,174,0,6,Matches
Kevin Schade,de GER,"FW,MF",21-130,2.0,55,54,1,0,0,0,3,0,0,0,0,0,26,0,4,Matches
Kenneth Schmidt,de GER,DF,20-307,0.7,59,58,1,1,0,0,1,0,0,0,0,0,52,0,1,Matches
Nils Petersen,de GER,FW,34-121,2.5,54,52,2,0,0,0,0,0,0,0,0,0,24,0,1,Matches
Noah Weißhaupt,de GER,"MF,FW",21-198,1.8,49,48,1,1,1,0,7,0,0,0,0,0,31,0,2,Matches
Jonathan Schmid,fr FRA,DF,32-288,0.4,16,16,0,0,0,0,3,0,0,0,0,0,13,0,1,Matches
Robert Wagner,de GER,MF,19-266,0.3,9,9,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches
Hugo Siquet,be BEL,DF,20-271,0.2,7,5,2,0,0,0,0,2,0,0,0,0,5,0,0,Matches
Keven Schlotterbeck,de GER,DF,25-343,0.2,6,5,1,1,0,0,0,0,0,0,0,0,6,0,0,Matches
Merlin Röhl,de GER,MF,20-275,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
Squad Total,,,28.0,26.0,12116,10895,1179,342,22,86,413,474,105,64,29,0,9147,42,229,
Opponent Total,,,27.2,26.0,12622,11395,1193,345,26,76,396,496,112,49,50,2,9732,34,234,
