Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GD.1,Pts.1,Pts/MP.1,xG.1,xGA.1,xGD.1,xGD/90.1
2,Dortmund,12,10,1,1,36,12,24,31,2.58,23.5,12.3,11.2,0.93,14,7,1,6,21,23,-2,22,1.57,23.7,22.2,1.4,0.1
3,Union Berlin,13,9,4,0,24,8,16,31,2.38,15.9,13.8,2.0,0.16,13,6,2,5,17,20,-3,20,1.54,13.2,17.2,-4.0,-0.3
4,Freiburg,13,8,4,1,22,11,11,28,2.15,22.8,15.8,7.0,0.54,13,5,4,4,17,24,-7,19,1.46,14.3,19.7,-5.4,-0.41
5,RB Leipzig,13,9,2,2,28,13,15,29,2.23,24.8,14.8,9.9,0.76,13,4,4,5,21,20,1,16,1.23,21.3,15.3,6.0,0.46
6,Eint Frankfurt,13,7,3,3,28,15,13,24,1.85,24.4,14.2,10.1,0.78,13,4,5,4,19,22,-3,17,1.31,15.3,18.3,-3.0,-0.23
