Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Isak Määttä,no NOR,DF,21-199,23.2,1049,829,215,16,1,7,62,193,6,4,0,0,740,5,30,Matches
Radinio Balker,nl NED,DF,24-215,23.3,1261,1205,50,29,0,37,7,19,0,0,0,0,1083,6,9,Matches
Michael Verrips,nl NED,GK,26-124,22.0,888,639,246,44,0,3,0,0,0,0,0,0,602,3,1,Matches
Ricardo Pepi,us USA,FW,20-087,21.0,441,389,52,3,0,2,4,0,0,0,0,0,329,0,8,Matches
Tomáš Suslov,sk SVK,"MF,FW",20-303,17.7,537,463,72,29,2,17,82,5,34,26,4,0,347,2,16,Matches
Laros Duarte,nl NED,MF,26-037,15.7,594,536,56,26,1,9,38,0,29,20,4,0,473,2,12,Matches
Joey Pelupessy,nl NED,MF,29-326,14.4,447,433,12,12,0,6,0,0,0,0,0,0,395,2,4,Matches
Neraysho Kasanwirjo,nl NED,"DF,MF",21-047,13.7,660,551,109,17,2,21,20,92,0,0,0,0,497,0,11,Matches
Mike te Wierik,nl NED,DF,30-302,13.2,607,573,31,14,0,1,0,17,0,0,0,0,504,3,2,Matches
Thijmen Blokzijl,nl NED,DF,18-040,12.5,714,700,13,10,2,2,1,3,0,0,0,0,583,1,4,Matches
Ragnar Oratmangoen,nl NED,"MF,FW",25-075,12.3,630,614,16,8,1,4,9,3,1,1,0,0,537,0,10,Matches
Liam van Gelderen,nl NED,"DF,MF",22-014,11.4,523,413,107,15,2,2,16,92,0,0,0,0,392,3,9,Matches
Florian Krüger,de GER,"FW,MF",24-052,10.9,247,232,13,1,1,0,20,4,0,0,0,0,157,2,14,Matches
Johan Hove,no NOR,MF,22-211,10.5,532,486,43,11,2,5,53,0,32,16,9,0,356,3,20,Matches
Luciano Valente,it ITA,MF,19-184,7.9,246,229,14,3,2,3,12,4,4,3,0,0,174,3,11,Matches
Cyril Ngonge,be BEL,FW,22-315,7.3,184,173,11,0,0,6,22,4,6,4,1,0,99,0,8,Matches
Elvis Manu,nl NED,FW,29-236,6.4,149,141,6,4,0,2,7,1,0,0,0,0,99,2,8,Matches
Daleho Irandust,se SWE,FW,24-306,5.3,152,138,13,1,2,3,8,7,3,1,1,0,102,1,11,Matches
Damil Dankerlui,sr SUR,"DF,MF",26-225,7.2,303,262,40,3,1,4,26,37,0,0,0,0,204,1,13,Matches
Paulos Abraham,se SWE,"FW,MF",20-264,5.4,134,133,1,0,0,0,7,1,0,0,0,0,99,0,4,Matches
Mads Bech Sørensen,dk DEN,DF,24-089,5.1,337,303,33,5,0,8,2,28,0,0,0,0,261,1,5,Matches
Peter Leeuwenburgh,nl NED,GK,29-014,4.0,152,103,49,13,0,0,0,0,0,0,0,0,88,0,0,Matches
Jørgen Strand Larsen,no NOR,FW,23-059,4.0,64,61,3,0,0,3,3,0,0,0,0,0,43,0,1,Matches
Ramon Lundqvist,se SWE,MF,25-331,3.8,102,90,12,2,1,2,5,2,2,1,1,0,67,0,4,Matches
Jetro Willems,nl NED,DF,29-007,3.8,239,190,48,10,1,4,13,38,0,0,0,0,173,1,6,Matches
Thom van Bergen,nl NED,FW,19-090,3.3,72,71,1,0,0,0,2,1,0,0,0,0,41,0,5,Matches
Marin Šverko,hr CRO,DF,25-061,2.5,142,118,24,3,1,1,0,18,0,0,0,0,104,0,2,Matches
Oliver Antman,fi FIN,"FW,MF",21-234,2.0,72,71,1,0,1,0,6,1,0,0,0,0,53,0,1,Matches
Matěj Chaluš,cz CZE,"DF,FW",25-063,1.1,76,75,1,1,0,1,0,0,0,0,0,0,57,0,0,Matches
Jan de Boer,nl NED,GK,22-321,1.0,33,20,13,2,0,0,0,0,0,0,0,0,11,0,0,Matches
Aimar Sher,se SWE,"MF,FW",20-107,1.5,53,51,2,0,0,0,2,1,1,0,0,0,39,0,1,Matches
Yahya Kalley,se SWE,"DF,MF",22-017,1.4,53,40,13,0,0,1,3,13,0,0,0,0,33,0,1,Matches
Nordin Musampa,nl NED,DF,21-175,0.7,19,18,1,0,0,0,0,1,0,0,0,0,13,0,1,Matches
Romano Postema,nl NED,"MF,FW",21-058,0.4,9,8,1,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Patrick Joosten,nl NED,FW,26-357,0.3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Squad Total,,,23.9,27.0,11724,10361,1322,282,23,154,430,585,118,76,20,0,8767,41,232,
Opponent Total,,,25.7,27.0,12925,11557,1313,270,29,114,538,609,172,86,56,2,9926,55,257,
