Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Henrique,br BRA,DF,28-346,4,1,131.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Jefferson,br BRA,FW,23-097,2,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mohamed El Arouch,fr FRA,MF,19-000,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kayne Bonnevie,fr FRA,GK,21-258,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Djibrail Dib,fr FRA,MF,20-277,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tino Kadewere,zw ZIM,FW,27-091,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Achraf Laaziri,ma MAR,DF,19-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sekou Lega,fr FRA,FW,20-075,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mamadou Sarr,fr FRA,DF,17-220,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.3,29,319,2610.0,29.0,44.0,31.0,75.0,40.0,4.0,5.0,44.0,2.0,45.0,41.0,33.4,74.3,527.0,1486.0,1473.0,1.52,1.07,2.59,1.38,2.45,1.55,1.15,2.7,1.41,2.56,
Opponent Total,,,27.0,29,319,2610.0,29.0,31.0,18.0,49.0,23.0,8.0,8.0,50.0,3.0,37.2,31.1,25.1,56.2,521.0,983.0,973.0,1.07,0.62,1.69,0.79,1.41,1.28,0.87,2.15,1.07,1.94,
