Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Andries Noppert,nl NED,GK,28-364,17.0,16,1,0,3,0,18.8,0.28,2.8,0.17,96,256,37.5,520,94,36.0,34.9,122,56.6,45.5,263,21,8.0,18,1.06,14.4,Matches
Xavier Mous,nl NED,GK,27-245,10.0,21,2,0,2,1,19.9,0.35,-0.1,-0.01,52,154,33.8,244,41,45.1,37.5,93,47.3,42.1,153,5,3.3,11,1.1,14.1,Matches
Squad Total,,,25.7,27.0,37,3,0,5,1,38.7,0.31,2.7,0.1,148,410,36.1,764,135,38.9,35.7,215,52.6,44.1,416,26,6.3,29,1.07,14.3,
Opponent Total,,,25.9,27.0,32,0,0,5,1,31.2,0.26,0.2,0.01,171,464,36.9,793,123,43.9,37.5,187,62.0,48.0,407,24,5.9,35,1.3,15.2,
