Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Ederson,br BRA,GK,29-176,21.0,794,614,788,8,0,0,794,0,0,,0,,532,2454,1542,0,0,0,0,0,505,0,Matches
Rodri,es ESP,MF,26-232,19.3,2053,70,436,1237,392,35,2053,14,9,64.3,4,28.6,1230,6202,3278,47,48,1,12,12,1553,22,Matches
Erling Haaland,no NOR,FW,22-203,18.2,441,11,26,174,241,137,437,14,5,35.7,8,57.1,230,1013,373,19,5,17,26,18,330,92,Matches
Kevin De Bruyne,be BEL,MF,31-226,17.8,1220,9,72,458,707,70,1220,33,15,45.5,12,36.4,731,3848,2302,71,50,12,31,23,942,158,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,15.7,1125,18,156,499,479,66,1125,47,21,44.7,20,42.6,694,4929,2519,65,52,24,19,23,845,137,Matches
João Cancelo,pt POR,DF,28-258,14.2,1363,20,225,686,461,47,1363,58,28,48.3,23,39.7,837,4842,2791,71,39,21,18,14,1020,125,Matches
Manuel Akanji,ch SUI,DF,27-205,14.3,1267,74,468,710,92,20,1267,4,3,75.0,1,25.0,909,5536,3430,18,23,0,7,2,990,8,Matches
İlkay Gündoğan,de GER,MF,32-108,13.9,934,17,115,476,347,51,934,23,6,26.1,11,47.8,517,2724,1373,32,22,4,16,14,721,77,Matches
John Stones,eng ENG,DF,28-257,13.1,1127,57,346,654,132,15,1127,7,4,57.1,0,0.0,748,4107,2100,21,24,1,4,2,894,18,Matches
Nathan Aké,nl NED,DF,27-356,12.8,1259,58,407,727,131,20,1259,3,2,66.7,1,33.3,817,3818,2416,14,9,2,10,0,975,15,Matches
Phil Foden,eng ENG,"FW,DF",22-257,11.6,757,8,57,259,450,75,757,29,11,37.9,15,51.7,497,2168,923,23,20,6,23,22,608,163,Matches
Jack Grealish,eng ENG,FW,27-152,11.6,679,8,59,227,408,71,679,53,20,37.7,18,34.0,498,4485,2099,78,48,32,19,18,553,158,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-353,10.0,673,3,39,243,397,57,673,32,10,31.3,12,37.5,450,2424,1080,34,26,19,16,10,509,128,Matches
Kyle Walker,eng ENG,DF,32-257,8.8,883,19,176,565,146,6,883,5,4,80.0,1,20.0,512,2475,1406,22,15,0,3,2,710,19,Matches
Rúben Dias,pt POR,DF,25-271,9.7,972,70,365,555,55,14,972,3,3,100.0,0,0.0,581,2889,1617,5,14,1,0,0,762,1,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,6.4,262,3,13,105,146,36,262,11,6,54.5,4,36.4,150,885,417,18,7,9,10,9,199,45,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,5.0,379,9,62,217,103,6,379,8,3,37.5,2,25.0,270,1438,751,17,13,3,3,9,304,10,Matches
Aymeric Laporte,es ESP,DF,28-258,4.2,347,34,111,168,69,7,347,2,1,50.0,1,50.0,237,1447,1014,12,23,0,1,0,270,2,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,1.3,95,2,9,32,54,15,95,8,5,62.5,2,25.0,65,369,184,9,2,7,9,3,75,18,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,1.2,103,5,20,56,27,7,103,0,0,,0,,53,206,95,2,2,1,3,2,75,12,Matches
Kalvin Phillips,eng ENG,MF,27-069,0.2,28,3,7,18,4,0,28,0,0,,0,,13,40,6,0,0,0,1,0,18,0,Matches
Squad Total,,,27.8,21.0,16761,1112,3957,8074,4841,755,16757,354,156,44.1,135,38.1,10571,58299,31716,578,442,160,231,183,12858,1208,
Opponent Total,,,27.4,21.0,10134,1957,4952,3502,1775,282,10132,258,101,39.1,128,49.6,5298,26607,12530,240,159,70,242,140,6184,463,
