Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Ederson,br BRA,GK,29-176,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,2.14,53.0,21.0,32.0,1.52,,42.7,17.0,25.7,1.22,,Matches
Rodri,es ESP,MF,26-232,20,1733.0,87.0,91.7,19.3,20,87.0,15,0,,0,2.1,45.0,18.0,27.0,1.4,-1.46,37.7,14.6,23.1,1.2,-0.26,Matches
Erling Haaland,no NOR,FW,22-203,20,1636.0,82.0,86.6,18.2,19,85.0,12,1,27.0,0,2.1,49.0,20.0,29.0,1.6,0.53,38.9,14.4,24.5,1.35,0.94,Matches
Kevin De Bruyne,be BEL,MF,31-226,20,1599.0,80.0,84.6,17.8,18,86.0,12,2,27.0,1,2.1,44.0,16.0,28.0,1.58,0.34,36.2,12.9,23.3,1.31,0.58,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,20,1410.0,71.0,74.6,15.7,16,84.0,10,4,16.0,1,2.1,38.0,17.0,21.0,1.34,-0.72,28.1,14.4,13.7,0.88,-1.37,Matches
João Cancelo,pt POR,DF,28-258,17,1274.0,75.0,67.4,14.2,16,78.0,10,1,23.0,3,2.24,36.0,15.0,21.0,1.48,-0.12,24.8,11.3,13.4,0.95,-0.84,Matches
Manuel Akanji,ch SUI,DF,27-205,15,1286.0,86.0,68.0,14.3,14,89.0,13,1,45.0,0,2.07,33.0,15.0,18.0,1.26,-0.83,28.7,12.7,16.0,1.12,-0.32,Matches
İlkay Gündoğan,de GER,MF,32-108,18,1252.0,70.0,66.2,13.9,14,85.0,8,4,15.0,3,2.17,38.0,12.0,26.0,1.87,1.02,32.9,10.4,22.6,1.62,1.18,Matches
John Stones,eng ENG,DF,28-257,14,1181.0,84.0,62.5,13.1,13,89.0,12,1,27.0,2,2.36,33.0,13.0,20.0,1.52,0.0,28.3,8.7,19.6,1.49,0.72,Matches
Nathan Aké,nl NED,DF,27-356,15,1156.0,77.0,61.2,12.8,13,85.0,12,2,28.0,3,2.0,31.0,12.0,19.0,1.48,-0.11,27.6,11.5,16.1,1.25,0.07,Matches
Phil Foden,eng ENG,"FW,DF",22-257,18,1045.0,58.0,55.3,11.6,13,73.0,5,5,18.0,1,2.17,32.0,11.0,21.0,1.81,0.64,23.8,9.1,14.7,1.27,0.1,Matches
Jack Grealish,eng ENG,FW,27-152,15,1040.0,69.0,55.0,11.6,11,82.0,5,4,36.0,3,2.47,31.0,9.0,22.0,1.9,0.85,23.8,7.7,16.1,1.39,0.38,Matches
