Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Ederson,br BRA,GK,29-176,21.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,7,2,Matches
Rodri,es ESP,MF,26-232,19.3,44,28,20,18,6,19,32,59.4,13,28,10,18,22,66,22,1,Matches
Erling Haaland,no NOR,FW,22-203,18.2,2,1,0,1,1,0,1,0.0,1,7,2,5,2,4,10,0,Matches
Kevin De Bruyne,be BEL,MF,31-226,17.8,19,9,3,9,7,11,27,40.7,16,18,2,16,4,23,7,0,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,15.7,31,14,7,18,6,14,28,50.0,14,15,3,12,10,41,4,0,Matches
João Cancelo,pt POR,DF,28-258,14.2,29,21,16,9,4,17,24,70.8,7,7,1,6,19,48,9,1,Matches
Manuel Akanji,ch SUI,DF,27-205,14.3,22,15,8,11,3,16,21,76.2,5,19,6,13,11,33,17,0,Matches
İlkay Gündoğan,de GER,MF,32-108,13.9,19,11,2,8,9,9,17,52.9,8,10,3,7,14,33,9,0,Matches
John Stones,eng ENG,DF,28-257,13.1,12,9,6,4,2,2,3,66.7,1,9,5,4,5,17,23,0,Matches
Nathan Aké,nl NED,DF,27-356,12.8,16,7,8,7,1,7,10,70.0,3,13,6,7,13,29,21,0,Matches
Phil Foden,eng ENG,"FW,DF",22-257,11.6,12,7,7,4,1,7,9,77.8,2,12,1,11,3,15,5,0,Matches
Jack Grealish,eng ENG,FW,27-152,11.6,14,8,5,7,2,7,13,53.8,6,13,0,13,4,18,4,0,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-353,10.0,11,5,0,5,6,7,15,46.7,8,12,0,12,4,15,2,0,Matches
Kyle Walker,eng ENG,DF,32-257,8.8,3,2,2,1,0,1,8,12.5,7,3,1,2,5,8,5,0,Matches
Rúben Dias,pt POR,DF,25-271,9.7,6,3,3,3,0,1,1,100.0,0,9,3,6,12,18,25,0,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,6.4,10,5,1,5,4,2,8,25.0,6,8,0,8,0,10,1,0,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,5.0,10,7,6,3,1,5,7,71.4,2,2,1,1,2,12,7,0,Matches
Aymeric Laporte,es ESP,DF,28-258,4.2,2,1,2,0,0,0,0,,0,6,2,4,1,3,14,1,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,1.3,3,1,0,1,2,1,1,100.0,0,0,0,0,1,4,1,0,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,1.2,2,1,1,0,1,1,2,50.0,1,4,2,2,2,4,4,0,Matches
Kalvin Phillips,eng ENG,MF,27-069,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,3,0,Matches
Squad Total,,,27.8,21.0,268,155,98,114,56,128,229,55.9,101,197,48,149,134,402,200,5,
Opponent Total,,,27.4,21.0,318,164,191,104,23,135,291,46.4,156,247,99,148,175,493,473,8,
