Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Ederson,br BRA,GK,29-176,21.0,665,765,86.9,15663,10112,150,152,98.7,356,359,99.2,158,253,62.5,1,0.2,0.2,0.8,1,5,0,0,0,Matches
Rodri,es ESP,MF,26-232,19.3,1707,1870,91.3,31638,7738,673,730,92.2,801,854,93.8,203,238,85.3,4,2.2,2.6,1.8,22,178,21,1,169,Matches
Erling Haaland,no NOR,FW,22-203,18.2,213,289,73.7,2684,525,123,154,79.9,65,85,76.5,5,6,83.3,3,3.0,2.4,0.0,17,9,14,0,34,Matches
Kevin De Bruyne,be BEL,MF,31-226,17.8,761,1058,71.9,14413,4317,340,402,84.6,305,411,74.2,106,184,57.6,11,9.2,10.0,1.8,64,79,66,14,156,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,15.7,827,963,85.9,13143,2359,453,490,92.4,286,325,88.0,60,90,66.7,5,2.4,2.9,2.6,23,50,21,6,77,Matches
João Cancelo,pt POR,DF,28-258,14.2,1036,1220,84.9,16674,4147,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,0.1,12,80,36,9,106,Matches
Manuel Akanji,ch SUI,DF,27-205,14.3,1090,1157,94.2,18873,5880,478,492,97.2,529,550,96.2,68,91,74.7,1,0.2,0.3,0.8,4,74,1,1,68,Matches
İlkay Gündoğan,de GER,MF,32-108,13.9,696,797,87.3,10663,2506,382,415,92.0,240,265,90.6,50,64,78.1,2,2.5,2.1,-0.5,28,81,22,0,101,Matches
John Stones,eng ENG,DF,28-257,13.1,990,1052,94.1,16861,4967,459,476,96.4,445,467,95.3,72,86,83.7,2,1.3,0.8,0.7,5,75,2,0,75,Matches
Nathan Aké,nl NED,DF,27-356,12.8,1078,1178,91.5,17723,6367,508,535,95.0,508,542,93.7,48,71,67.6,0,0.3,0.7,-0.3,5,97,5,0,94,Matches
Phil Foden,eng ENG,"FW,DF",22-257,11.6,511,637,80.2,7731,1360,304,334,91.0,153,184,83.2,32,66,48.5,4,2.0,2.1,2.0,22,24,22,8,47,Matches
Jack Grealish,eng ENG,FW,27-152,11.6,465,556,83.6,6746,1210,294,318,92.5,139,160,86.9,23,40,57.5,3,3.6,3.5,-0.6,26,15,17,0,41,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-353,10.0,479,568,84.3,7924,1550,257,284,90.5,168,193,87.0,47,71,66.2,3,3.2,2.9,-0.2,23,22,24,6,46,Matches
Kyle Walker,eng ENG,DF,32-257,8.8,747,853,87.6,12813,3599,342,369,92.7,330,365,90.4,66,99,66.7,0,0.1,0.3,-0.1,4,92,2,1,82,Matches
Rúben Dias,pt POR,DF,25-271,9.7,830,900,92.2,14982,5430,295,313,94.2,479,506,94.7,48,64,75.0,0,0.1,0.1,-0.1,2,51,0,0,43,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,6.4,158,200,79.0,1987,302,98,114,86.0,35,46,76.1,7,11,63.6,0,0.5,0.5,-0.5,6,11,4,1,18,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,5.0,318,346,91.9,4603,674,195,202,96.5,107,114,93.9,9,13,69.2,0,0.8,0.8,-0.8,6,16,6,3,21,Matches
Aymeric Laporte,es ESP,DF,28-258,4.2,288,314,91.7,4901,1416,133,140,95.0,131,141,92.9,20,26,76.9,0,0.1,0.2,-0.1,3,32,5,0,28,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,1.3,62,72,86.1,1020,146,32,33,97.0,26,29,89.7,3,7,42.9,0,0.2,0.3,-0.2,3,2,5,1,7,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,1.2,72,88,81.8,1166,315,33,38,86.8,30,35,85.7,5,6,83.3,1,0.4,0.2,0.6,2,8,2,0,7,Matches
Kalvin Phillips,eng ENG,MF,27-069,0.2,16,20,80.0,303,76,5,8,62.5,10,10,100.0,1,2,50.0,0,0.0,0.0,0.0,0,4,0,0,1,Matches
Squad Total,,,27.8,21.0,13009,14903,87.3,222511,64996,6132,6620,92.6,5506,6071,90.7,1112,1611,69.0,41,32.7,34.1,8.3,278,1005,275,51,1221,
Opponent Total,,,27.4,21.0,6232,8013,77.8,113284,41437,2704,3085,87.6,2700,3090,87.4,656,1374,47.7,13,13.1,10.8,-0.1,118,349,106,29,466,
