Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Ederson,br BRA,GK,29-176,21.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodri,es ESP,MF,26-232,19.3,1,31,7,22.6,1.61,0.36,0.03,0.14,18.2,0,0,0,2.9,2.9,0.09,-1.9,-1.9,Matches
Erling Haaland,no NOR,FW,22-203,18.2,25,70,36,51.4,3.85,1.98,0.3,0.58,12.6,0,4,4,16.9,13.7,0.2,8.1,7.3,Matches
Kevin De Bruyne,be BEL,MF,31-226,17.8,3,47,16,34.0,2.65,0.9,0.06,0.19,23.6,5,0,0,3.4,3.4,0.07,-0.4,-0.4,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,15.7,2,17,5,29.4,1.09,0.32,0.12,0.4,18.2,0,0,0,1.4,1.4,0.08,0.6,0.6,Matches
João Cancelo,pt POR,DF,28-258,14.2,2,17,3,17.6,1.2,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,1.2,1.2,Matches
Manuel Akanji,ch SUI,DF,27-205,14.3,0,11,2,18.2,0.77,0.14,0.0,0.0,16.4,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
İlkay Gündoğan,de GER,MF,32-108,13.9,2,31,8,25.8,2.23,0.58,0.06,0.25,18.5,2,0,0,3.3,3.3,0.11,-1.3,-1.3,Matches
John Stones,eng ENG,DF,28-257,13.1,0,7,1,14.3,0.53,0.08,0.0,0.0,13.0,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Nathan Aké,nl NED,DF,27-356,12.8,0,4,0,0.0,0.31,0.0,0.0,,10.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Phil Foden,eng ENG,"FW,DF",22-257,11.6,7,28,14,50.0,2.41,1.21,0.25,0.5,14.2,0,0,0,3.7,3.7,0.13,3.3,3.3,Matches
Jack Grealish,eng ENG,FW,27-152,11.6,2,19,4,21.1,1.64,0.35,0.11,0.5,13.6,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-353,10.0,4,24,9,37.5,2.41,0.9,0.17,0.44,15.6,1,0,0,3.3,3.3,0.14,0.7,0.7,Matches
Kyle Walker,eng ENG,DF,32-257,8.8,0,3,1,33.3,0.34,0.11,0.0,0.0,24.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches
Rúben Dias,pt POR,DF,25-271,9.7,0,5,1,20.0,0.51,0.1,0.0,0.0,10.0,0,0,0,0.6,0.6,0.12,-0.6,-0.6,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,6.4,4,19,8,42.1,2.96,1.25,0.21,0.5,15.6,0,0,0,2.2,2.2,0.12,1.8,1.8,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,5.0,0,1,1,100.0,0.2,0.2,0.0,0.0,26.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Aymeric Laporte,es ESP,DF,28-258,4.2,0,7,0,0.0,1.68,0.0,0.0,,16.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,1.3,0,2,0,0.0,1.51,0.0,0.0,,13.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,1.2,0,2,0,0.0,1.62,0.0,0.0,,17.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Kalvin Phillips,eng ENG,MF,27-069,0.2,0,1,0,0.0,4.29,0.0,0.0,,28.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Squad Total,,,27.8,21.0,52,346,116,33.5,16.48,5.52,0.14,0.41,16.8,8,4,4,42.7,39.6,0.12,9.3,8.4,
Opponent Total,,,27.4,21.0,20,158,50,31.6,7.52,2.38,0.11,0.36,17.9,6,2,2,17.0,15.5,0.1,3.0,2.5,
