Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ederson,br BRA,GK,29-176,21,21,1890.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.01,0.01,0.0,0.01,Matches
Rodri,es ESP,MF,26-232,20,20,1733.0,19.3,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,2.9,2.9,2.2,5.2,47.0,169.0,22.0,0.05,0.21,0.26,0.05,0.26,0.15,0.12,0.27,0.15,0.27,Matches
Erling Haaland,no NOR,FW,22-203,20,19,1636.0,18.2,25.0,3.0,28.0,21.0,4.0,4.0,3.0,0.0,16.9,13.7,3.0,16.7,19.0,34.0,92.0,1.38,0.17,1.54,1.16,1.32,0.93,0.16,1.09,0.76,0.92,Matches
Kevin De Bruyne,be BEL,MF,31-226,20,18,1599.0,17.8,3.0,11.0,14.0,3.0,0.0,0.0,1.0,0.0,3.4,3.4,9.2,12.5,71.0,156.0,158.0,0.17,0.62,0.79,0.17,0.79,0.19,0.52,0.71,0.19,0.71,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,20,16,1410.0,15.7,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,1.4,1.4,2.4,3.8,65.0,77.0,137.0,0.13,0.32,0.45,0.13,0.45,0.09,0.15,0.24,0.09,0.24,Matches
João Cancelo,pt POR,DF,28-258,17,16,1274.0,14.2,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.8,0.8,0.9,1.7,71.0,106.0,125.0,0.14,0.07,0.21,0.14,0.21,0.06,0.06,0.12,0.06,0.12,Matches
Manuel Akanji,ch SUI,DF,27-205,15,14,1286.0,14.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,18.0,68.0,8.0,0.0,0.07,0.07,0.0,0.07,0.05,0.01,0.07,0.05,0.07,Matches
İlkay Gündoğan,de GER,MF,32-108,18,14,1252.0,13.9,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,3.3,3.3,2.5,5.8,32.0,101.0,77.0,0.14,0.14,0.29,0.14,0.29,0.24,0.18,0.42,0.24,0.42,Matches
John Stones,eng ENG,DF,28-257,14,13,1181.0,13.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.3,1.9,21.0,75.0,18.0,0.0,0.15,0.15,0.0,0.15,0.04,0.1,0.14,0.04,0.14,Matches
