Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Ederson,br BRA,GK,29-176,21.0,1,0,0,0,2,0,0,0,0,0,0,0,24,5,0,100.0,Matches
Rodri,es ESP,MF,26-232,19.3,3,0,0,31,11,2,3,22,28,0,0,0,188,47,23,67.1,Matches
Erling Haaland,no NOR,FW,22-203,18.2,3,0,0,15,15,5,5,2,1,1,0,0,20,25,23,52.1,Matches
Kevin De Bruyne,be BEL,MF,31-226,17.8,1,0,0,16,16,3,157,4,9,1,0,0,66,8,10,44.4,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,15.7,2,0,0,10,11,2,49,10,14,1,0,0,70,2,5,28.6,Matches
João Cancelo,pt POR,DF,28-258,14.2,3,1,0,13,18,4,45,19,21,0,2,0,80,27,11,71.1,Matches
Manuel Akanji,ch SUI,DF,27-205,14.3,1,0,0,13,7,0,3,11,15,0,0,0,77,12,20,37.5,Matches
İlkay Gündoğan,de GER,MF,32-108,13.9,0,0,0,14,12,3,15,14,11,1,0,0,84,14,6,70.0,Matches
John Stones,eng ENG,DF,28-257,13.1,1,0,0,5,7,1,2,5,9,0,0,1,63,20,11,64.5,Matches
Nathan Aké,nl NED,DF,27-356,12.8,0,0,0,9,9,1,5,13,7,0,0,0,64,22,17,56.4,Matches
Phil Foden,eng ENG,"FW,DF",22-257,11.6,1,0,0,4,16,3,59,3,7,0,0,0,60,14,17,45.2,Matches
Jack Grealish,eng ENG,FW,27-152,11.6,1,0,0,14,40,1,35,4,8,0,0,0,56,8,5,61.5,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-353,10.0,2,0,0,7,17,3,44,4,5,0,0,0,41,3,8,27.3,Matches
Kyle Walker,eng ENG,DF,32-257,8.8,1,0,0,4,4,0,12,5,2,0,0,0,48,12,3,80.0,Matches
Rúben Dias,pt POR,DF,25-271,9.7,0,0,0,10,3,0,0,12,3,0,0,0,41,26,13,66.7,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,6.4,0,0,0,10,5,1,8,0,5,0,0,0,14,5,11,31.3,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,5.0,1,0,0,4,8,0,4,2,7,0,0,0,18,0,1,0.0,Matches
Aymeric Laporte,es ESP,DF,28-258,4.2,0,0,0,0,2,0,2,1,1,0,0,0,16,14,7,66.7,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,1.3,1,0,0,1,3,1,4,1,1,0,0,0,7,1,1,50.0,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,1.2,0,0,0,0,0,0,4,2,1,0,0,0,5,1,2,33.3,Matches
Kalvin Phillips,eng ENG,MF,27-069,0.2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,,Matches
Squad Total,,,27.8,21.0,22,1,0,183,206,30,456,134,155,4,2,1,1045,266,194,57.8,
Opponent Total,,,27.4,21.0,50,2,1,214,178,38,203,175,164,2,4,1,907,194,266,42.2,
