Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Ederson,br BRA,GK,29-176,21.0,3,0.14,3,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Rodri,es ESP,MF,26-232,19.3,66,3.43,61,0,0,3,1,1,9,0.47,9,0,0,0,0,0,Matches
Erling Haaland,no NOR,FW,22-203,18.2,37,2.04,26,0,2,4,4,1,7,0.39,6,0,0,0,1,0,Matches
Kevin De Bruyne,be BEL,MF,31-226,17.8,116,6.53,81,21,4,7,1,2,20,1.13,16,2,0,1,1,0,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,15.7,55,3.51,45,1,4,1,3,1,9,0.57,8,0,0,0,1,0,Matches
João Cancelo,pt POR,DF,28-258,14.2,39,2.76,30,0,2,5,1,1,6,0.42,5,0,1,0,0,0,Matches
Manuel Akanji,ch SUI,DF,27-205,14.3,18,1.26,17,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
İlkay Gündoğan,de GER,MF,32-108,13.9,57,4.1,44,7,0,4,1,1,9,0.65,6,1,0,1,1,0,Matches
John Stones,eng ENG,DF,28-257,13.1,11,0.84,7,1,0,3,0,0,3,0.23,2,0,0,1,0,0,Matches
Nathan Aké,nl NED,DF,27-356,12.8,15,1.17,12,1,0,2,0,0,2,0.16,2,0,0,0,0,0,Matches
Phil Foden,eng ENG,"FW,DF",22-257,11.6,55,4.74,45,6,0,3,1,0,9,0.78,9,0,0,0,0,0,Matches
Jack Grealish,eng ENG,FW,27-152,11.6,53,4.59,36,4,4,3,5,1,9,0.78,7,0,0,0,1,1,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-353,10.0,57,5.71,40,6,3,5,2,1,11,1.1,7,0,1,2,0,1,Matches
Kyle Walker,eng ENG,DF,32-257,8.8,13,1.48,13,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
Rúben Dias,pt POR,DF,25-271,9.7,6,0.62,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,6.4,18,2.8,13,0,1,3,1,0,0,0.0,0,0,0,0,0,0,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,5.0,11,2.19,9,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Aymeric Laporte,es ESP,DF,28-258,4.2,4,0.96,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,1.3,5,3.78,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,1.2,3,2.43,2,1,0,0,0,0,1,0.81,1,0,0,0,0,0,Matches
Kalvin Phillips,eng ENG,MF,27-069,0.2,1,4.29,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.8,21.0,643,30.62,497,49,21,46,21,9,98,4.67,81,3,2,5,5,2,
Opponent Total,,,27.4,21.0,270,12.86,204,13,13,18,12,10,29,1.38,18,3,1,2,4,1,
