Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Ederson,br BRA,GK,29-176,21,21,1890,21.0,21,1.0,52,32,63.5,14,3,4,8,38.1,2,2,0,0,0.0,Matches
Squad Total,,,27.8,21,21,1890,21.0,21,1.0,52,32,63.5,14,3,4,8,38.1,2,2,0,0,0.0,
Opponent Total,,,27.4,21,21,1890,21.0,53,2.52,120,68,59.2,4,3,14,2,9.5,4,4,0,0,0.0,
