Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Ederson,br BRA,GK,29-176,21.0,765,642,123,31,1,4,0,0,0,0,0,0,665,0,0,Matches
Rodri,es ESP,MF,26-232,19.3,1870,1834,35,30,1,18,3,2,0,0,0,0,1707,1,9,Matches
Erling Haaland,no NOR,FW,22-203,18.2,289,247,38,0,2,0,5,2,0,0,0,0,213,4,9,Matches
Kevin De Bruyne,be BEL,MF,31-226,17.8,1058,946,103,37,20,20,157,20,46,13,22,3,761,9,27,Matches
Bernardo Silva,pt POR,"MF,FW",28-183,15.7,963,927,34,7,1,6,49,19,7,0,2,0,827,2,15,Matches
João Cancelo,pt POR,DF,28-258,14.2,1220,1120,98,20,2,14,45,78,0,0,0,0,1036,2,15,Matches
Manuel Akanji,ch SUI,DF,27-205,14.3,1157,1136,21,12,0,7,3,9,0,0,0,0,1090,0,2,Matches
İlkay Gündoğan,de GER,MF,32-108,13.9,797,772,25,8,9,4,15,3,14,6,2,0,696,0,13,Matches
John Stones,eng ENG,DF,28-257,13.1,1052,1013,38,9,0,10,2,27,1,0,0,0,990,1,7,Matches
Nathan Aké,nl NED,DF,27-356,12.8,1178,1100,76,23,1,6,5,53,0,0,0,0,1078,2,12,Matches
Phil Foden,eng ENG,"FW,DF",22-257,11.6,637,600,33,3,2,4,59,7,23,3,18,0,511,4,18,Matches
Jack Grealish,eng ENG,FW,27-152,11.6,556,522,31,4,1,2,35,11,16,11,0,1,465,3,18,Matches
Riyad Mahrez,dz ALG,"FW,MF",31-353,10.0,568,501,67,18,5,6,44,22,27,15,6,0,479,0,10,Matches
Kyle Walker,eng ENG,DF,32-257,8.8,853,797,55,12,0,9,12,43,0,0,0,0,747,1,3,Matches
Rúben Dias,pt POR,DF,25-271,9.7,900,873,27,17,0,3,0,6,0,0,0,0,830,0,2,Matches
Julián Álvarez,ar ARG,"FW,MF",23-009,6.4,200,195,5,0,2,2,8,2,0,0,0,0,158,0,9,Matches
Rico Lewis,eng ENG,"DF,MF",18-080,5.0,346,322,23,2,0,0,4,21,0,0,0,0,318,1,5,Matches
Aymeric Laporte,es ESP,DF,28-258,4.2,314,307,7,2,1,1,2,5,0,0,0,0,288,0,0,Matches
Cole Palmer,eng ENG,"FW,MF",20-279,1.3,72,71,1,0,0,1,4,0,1,0,0,0,62,0,0,Matches
Sergio Gómez,es ESP,"DF,MF",22-158,1.2,88,77,11,3,0,0,4,6,2,0,2,0,72,0,3,Matches
Kalvin Phillips,eng ENG,MF,27-069,0.2,20,20,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
Squad Total,,,27.8,21.0,14903,14022,851,238,48,117,456,336,137,48,52,4,13009,30,177,
Opponent Total,,,27.4,21.0,8013,7173,802,203,16,68,203,279,52,28,12,2,6232,38,154,
