Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Lukáš Hrádecký,fi FIN,GK,33-133,25,25,2249,25.0,38,1.52,114,78,71.9,12,4,9,6,24.0,6,6,0,0,0.0,Matches
Andrey Lunyov,ru RUS,GK,31-144,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
Squad Total,,,25.5,26,26,2339,26.0,40,1.54,118,80,71.2,12,4,10,6,23.1,6,6,0,0,0.0,
Opponent Total,,,27.2,26,26,2340,26.0,48,1.85,136,87,66.9,10,4,12,6,23.1,5,3,1,1,25.0,
