Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
Vasilios Barkas,gr GRE,GK,28-308,26,26,2340,26.0,41,1.58,128,87,68.8,10,8,8,8,30.8,1,1,0,0,0.0,Matches
Squad Total,,,27.3,26,26,2340,26.0,41,1.58,128,87,68.8,10,8,8,8,30.8,1,1,0,0,0.0,
Opponent Total,,,25.6,26,26,2340,26.0,42,1.62,138,97,71.0,8,8,10,5,19.2,2,2,0,0,0.0,
